cust_id,x_km,y_km,radius_to_center_km,in_green_zone,tw_start_raw,tw_end_raw,tw_start_min,tw_end_min,order_count,total_weight,total_volume,fuel_forbidden_all_window,fuel_allowed_after_16,fuel_partial_overlap_ban,must_use_ev_under_policy,fuel_service_window_start_min,fuel_service_window_end_min
1,0.74596198306597,6.12744724329777,6.1726873401766555,True,11:33,12:22,213,262,0,0.0,0.0,True,False,False,True,,
2,3.49201994126609,-2.09987360600907,4.074760413989215,True,17:53,18:49,593,649,1,14.89,0.04317,False,True,False,False,593.0,649.0
3,-2.7926750198023,-7.07070496926335,7.602230102318214,True,14:33,15:21,393,441,5,235.0181,0.70348,True,False,False,True,,
4,-5.53320102964836,4.96886646380205,7.436796862198023,True,19:29,20:37,689,757,12,1443.5621,3.4909974813905924,False,True,False,False,689.0,757.0
5,-7.58608040355909,-3.95143072486639,8.553503414547828,True,19:28,20:26,688,746,23,731.6005,2.31239,False,True,False,False,688.0,746.0
6,-4.66159864091412,-7.50935781984783,8.838606041423168,True,11:46,12:59,226,299,28,4473.6432,11.983199999999998,True,False,False,True,,
7,-8.50508883064982,3.40488850459411,9.16132096075459,True,12:41,14:08,281,368,46,7463.2328,18.477136740776135,True,False,False,True,,
8,2.31778195492727,3.18321046881879,3.937631531693134,True,10:49,11:47,169,227,69,11807.770223282283,36.02702,True,False,False,True,,
9,4.21284964345134,7.3870741887538,8.503938334000352,True,10:06,11:32,126,212,37,2577.339130917874,6.65072,True,False,False,True,,
10,-5.87115512935265,-5.56732049906664,8.091076571893975,True,19:40,20:29,700,749,38,3759.985,14.55749,False,True,False,False,700.0,749.0
11,0.52184375622088,-2.3827701607119,2.439244666835562,True,11:29,12:50,209,290,20,1325.5301,4.36316,True,False,False,True,,
12,1.21755848144176,-1.34839674138507,1.816761522024462,True,14:55,15:50,415,470,14,1726.8416000000002,4.521751129740519,True,False,False,True,,
13,1.95141807684275,8.96083447171654,9.17085530035951,True,12:10,13:06,250,306,7,540.0867999999999,1.27918,True,False,False,True,,
14,-0.943660216384455,-8.4695515770045,8.521959781618673,True,15:42,17:05,462,545,0,0.0,0.0,False,True,True,False,480.0,545.0
15,-1.70421069554743,-3.09774834490506,3.5355874905283127,True,15:00,16:24,420,504,0,0.0,0.0,False,True,True,False,480.0,504.0
16,14.450550964877,-8.76544029595808,16.901223824638063,False,09:17,10:41,77,161,3,85.19999999999999,0.1931,False,False,False,False,,
17,33.3988623061578,-4.21820637223678,33.664183761743985,False,12:52,14:16,292,376,0,0.0,0.0,False,False,False,False,,
18,-5.54863118490896,12.227305144567,13.42737126635362,False,15:14,16:12,434,492,0,0.0,0.0,False,False,False,False,,
19,-24.9556659958338,-20.1758424030975,32.09127423413166,False,19:15,20:28,675,748,1,9.3722,0.07403,False,False,False,False,,
20,14.7106222334661,-12.5193153454242,19.316719784008903,False,10:37,12:01,157,241,0,0.0,0.0,False,False,False,False,,
21,-11.7497074626045,35.0960881663225,37.01068805135979,False,09:35,10:23,95,143,0,0.0,0.0,False,False,False,False,,
22,-8.83173297560488,-15.519725753721,17.856690477888044,False,13:51,15:17,351,437,0,0.0,0.0,False,False,False,False,,
23,-13.8099790627706,-22.8050691954668,26.66058331552765,False,12:10,13:15,250,315,0,0.0,0.0,False,False,False,False,,
24,-22.8798563925078,17.78788893064,28.980973433453975,False,16:51,18:16,531,616,5,1262.1673,2.9559900000000003,False,False,False,False,,
25,7.61494129207758,8.63190789686469,11.510741280288736,False,16:19,17:29,499,569,5,2528.1351,5.33839,False,False,False,False,,
26,-3.82996615152896,-27.8021080833649,28.064672715015963,False,15:50,17:12,470,552,3,45.813199999999995,0.1362,False,False,False,False,,
27,-0.948882982472617,-27.1587227180418,27.175293900708894,False,17:51,19:07,591,667,9,3233.6041,7.63971,False,False,False,False,,
28,22.0320436347622,-20.5978136037632,30.16091629873731,False,19:27,20:35,687,755,7,3257.3115000000003,7.9603,False,False,False,False,,
29,-14.3588031854593,29.6057903264111,32.90407345254039,False,17:38,19:03,578,663,3,873.9449999999999,2.04764,False,False,False,False,,
30,16.0800764301466,7.04621833529546,17.556139975177068,False,11:32,13:02,212,302,4,334.852,0.73178,False,False,False,False,,
31,8.19840369741397,-9.60107559004272,12.625152500919947,False,16:49,17:46,529,586,8,6771.620800000001,15.44527,False,False,False,False,,
32,0.323325874270734,-37.5736956858047,37.5750867877964,False,13:08,14:24,308,384,11,442.3342,1.12524,False,False,False,False,,
33,-8.66244194564893,-13.7461263895102,16.247888822186308,False,10:46,12:11,166,251,9,527.2666,1.37982,False,False,False,False,,
34,13.090888292642,-10.9595442953867,17.072872267224824,False,18:55,20:08,655,728,10,364.0498,1.5211,False,False,False,False,,
35,-0.079057338447202,-32.911273246347,32.9113681994304,False,09:29,10:52,89,172,14,1692.5786,3.88436,False,False,False,False,,
36,-27.7413684328977,15.6205382398009,31.83684559485841,False,15:16,16:21,436,501,17,3309.2547,10.30776,False,False,False,False,,
37,35.9798551608321,-8.83484643633667,37.04867729012882,False,09:25,10:43,85,163,13,564.949,1.8194000000000001,False,False,False,False,,
38,-19.8657669761891,8.2450917570308,21.50884087146731,False,10:28,11:34,148,214,21,1261.7326,4.06727,False,False,False,False,,
39,-14.7593829065892,-31.3415469493066,34.64292061820001,False,14:08,15:00,368,420,18,4024.8916,10.00717,False,False,False,False,,
40,-25.4478796473256,8.26587472638908,26.75666764634801,False,17:52,19:04,592,664,17,2691.1358,7.9507,False,False,False,False,,
41,-6.39184845369064,38.866308384005,39.38839491595875,False,12:38,13:51,278,351,35,2786.4185,7.943982841289994,False,False,False,False,,
42,-7.97960536037818,-18.8049073592717,20.42788884094896,False,10:14,11:21,134,201,25,6369.325358893752,15.334832439539348,False,False,False,False,,
43,18.151206181933,-13.637299694184,22.703352809839206,False,16:53,18:17,533,617,41,5061.5807,13.61688,False,False,False,False,,
44,21.590843242742,-11.0654463649764,24.261257493972305,False,17:01,18:29,541,629,30,4552.3089,11.62403,False,False,False,False,,
45,19.4247893328668,-17.0996049039402,25.87892827180275,False,15:37,16:36,457,516,43,5799.9256,18.41337,False,False,False,False,,
46,-3.94895297178467,-34.8007269144264,35.02406063473864,False,11:12,12:11,192,251,33,3319.8397,10.88662,False,False,False,False,,
47,10.5334022336896,17.621635259999,20.529846367012517,False,18:55,19:55,655,715,38,2803.4148449251247,8.09606,False,False,False,False,,
48,5.11105840595424,10.9732978458469,12.105213077131015,False,16:06,17:28,486,568,42,8598.7276,21.947163683609133,False,False,False,False,,
49,30.4883697362318,13.04953073461,33.1636991538445,False,13:06,14:02,306,362,46,4486.836,13.53895,False,False,False,False,,
50,-19.4837889125212,-8.72892514392852,21.349757950758868,False,20:09,20:58,729,778,55,7952.3101,21.573380851569752,False,False,False,False,,
51,-8.69400896691041,16.0355565510262,18.240747402940425,False,17:33,18:39,573,639,54,3501.945066810669,9.75931,False,False,False,False,,
52,-9.42229186702531,-18.809064939498,21.037122139819036,False,15:05,16:32,425,512,54,6733.774885530816,17.15851740533521,False,False,False,False,,
53,16.6645391539304,-0.259417867939575,16.66655821827307,False,17:59,18:52,599,652,55,6963.8459,18.75874,False,False,False,False,,
54,-7.26957106603941,-30.7450666987351,31.592812312199552,False,17:20,18:44,560,644,55,7432.124592881746,19.67292,False,False,False,False,,
55,-30.4738708628108,0.417718230968227,30.47673364853511,False,17:55,19:12,595,672,61,12197.6473,31.99107941896243,False,False,False,False,,
56,30.9734492073973,-24.4269327966448,39.446541060719404,False,13:50,15:09,350,429,50,7065.1609,17.72942,False,False,False,False,,
57,35.8691630924626,6.80594557114049,36.50914619750793,False,14:38,15:59,398,479,49,6609.653,16.91453,False,False,False,False,,
58,29.2918813421379,-11.2363981231824,31.373092855893937,False,14:18,15:23,378,443,44,2933.964,9.833463110439265,False,False,False,False,,
59,-32.4103858046121,-2.65068011202597,32.51859795655543,False,11:15,12:39,195,279,60,8831.025560195758,23.245070000000002,False,False,False,False,,
60,14.512163776104,29.3929978248616,32.78034805484506,False,10:23,11:36,143,216,56,9906.6292,26.01759,False,False,False,False,,
61,7.25597388908157,-33.7475199378438,34.5187522809588,False,12:17,13:43,257,343,37,6014.0655,18.804485519184414,False,False,False,False,,
62,-14.3803349502555,-0.886084812651717,14.407608391983448,False,19:11,20:01,671,721,63,8804.2944,25.16067277866143,False,False,False,False,,
63,-18.8423929163792,25.2549085872536,31.509461730815914,False,15:52,17:14,472,554,52,8692.99,23.77785,False,False,False,False,,
64,29.553914624618,-15.7832896589862,33.50441914283354,False,14:09,15:05,369,425,49,8849.7672,21.496680002580348,False,False,False,False,,
65,-13.5633988058324,35.7117550694904,38.20072299458911,False,15:57,17:23,477,563,54,6552.5867,17.979092500868724,False,False,False,False,,
66,10.9979131123698,-14.3764159181384,18.10070240290522,False,09:10,10:33,70,153,38,2825.778816856863,8.6796,False,False,False,False,,
67,15.2856210779678,-28.0053274336459,31.90530639885681,False,18:52,20:16,652,736,50,2885.641442688558,8.92494,False,False,False,False,,
68,-6.89120148830592,36.8225598526382,37.4618415464797,False,18:31,19:48,631,708,50,7414.9874,17.4329,False,False,False,False,,
69,-10.2808334321244,29.5869615259404,31.322257715505824,False,15:46,17:09,466,549,32,2288.8859,6.06402,False,False,False,False,,
70,-12.9249626484284,-33.6033227158668,36.00330480678071,False,11:36,12:35,216,275,42,5674.651,16.36573,False,False,False,False,,
71,-21.4142706428761,-0.0177783553764303,21.414278022764744,False,19:19,20:45,679,765,21,3067.0688,10.0436,False,False,False,False,,
72,3.34995943599543,31.3048933804785,31.4836239620845,False,19:13,20:35,673,755,36,2725.3232,7.50056,False,False,False,False,,
