orig_cust_id,route_ids,route_visit_count,unit_ids,unit_count,unit_type,required_visit_count,served_weight_kg,served_volume_m3
2,30,1,0,1,normal,1,14.89,0.04317
3,53,1,1,1,normal,1,235.0181,0.70348
4,99,1,2,1,normal,1,1443.5621,3.490997
5,113,1,3,1,normal,1,731.6005,2.31239
6,"19,70",2,"51,52",2,mandatory_split,2,4473.6432,11.9832
7,"22,75,76,77",4,"53,54,55,56",4,mandatory_split,4,7463.2328,18.477137
8,"9,10,11,12",4,"57,58,59,60",4,mandatory_split,4,11807.770223,36.02702
9,5,1,4,1,normal,1,2577.339131,6.65072
10,"62,114,115",3,"61,62,63",3,mandatory_split,3,3759.985,14.55749
11,62,1,5,1,normal,1,1325.5301,4.36316
12,30,1,6,1,normal,1,1726.8416,4.521751
13,32,1,7,1,normal,1,540.0868,1.27918
16,2,1,8,1,normal,1,85.2,0.1931
19,67,1,9,1,normal,1,9.3722,0.07403
24,87,1,10,1,normal,1,1262.1673,2.95599
25,43,1,11,1,normal,1,2528.1351,5.33839
26,94,1,12,1,normal,1,45.8132,0.1362
27,"53,94",2,"64,65",2,mandatory_split,2,3233.6041,7.63971
28,"98,116,117",3,"66,67,68",3,mandatory_split,3,3257.3115,7.9603
29,47,1,13,1,normal,1,873.945,2.04764
30,5,1,14,1,normal,1,334.852,0.73178
31,"44,45,67",3,"69,70,71",3,mandatory_split,3,6771.620800000001,15.44527
32,20,1,15,1,normal,1,442.3342,1.12524
33,61,1,16,1,normal,1,527.2666,1.37982
34,27,1,17,1,normal,1,364.0498,1.5211
35,3,1,18,1,normal,1,1692.5786,3.88436
36,"32,82",2,"72,73",2,mandatory_split,2,3309.2547,10.30776
37,2,1,19,1,normal,1,564.949,1.8194
38,54,1,20,1,normal,1,1261.7326,4.06727
39,"13,80,107",3,"74,75,76",3,mandatory_split,3,4024.8916,10.00717
40,52,1,21,1,normal,1,2691.1358,7.9507
41,21,1,22,1,normal,1,2786.4185,7.943983
42,"4,36,68,101",4,"77,78,79,80",4,mandatory_split,4,6369.325359,15.334832000000002
43,"46,47",2,"81,82",2,mandatory_split,2,5061.5807,13.616879999999998
44,"48,49",2,"83,84",2,mandatory_split,2,4552.3089,11.624030000000001
45,"33,34",2,"85,86",2,mandatory_split,2,5799.9256000000005,18.41337
46,"13,20,102",3,"87,88,89",3,mandatory_split,3,3319.8397,10.88662
47,56,1,23,1,normal,1,2803.414845,8.09606
48,"40,41,42",3,"90,91,92",3,mandatory_split,3,8598.7276,21.947164
49,"72,73,74",3,"93,94,95",3,mandatory_split,3,4486.836,13.53895
50,"65,66,67",3,"96,97,98",3,mandatory_split,3,7952.3101,21.573381
51,"110,111,112",3,"99,100,101",3,mandatory_split,3,3501.945067,9.75931
52,"30,124,125,126,131",5,"102,103,104,105,106",5,mandatory_split,5,6733.774886,17.158517
53,"50,51,93",3,"107,108,109",3,mandatory_split,3,6963.8459,18.75874
54,"88,89,90,91,92",5,"110,111,112,113,114",5,mandatory_split,5,7432.1245930000005,19.67292
55,"54,119,120,121,127",5,"115,116,117,118,119",5,mandatory_split,5,12197.6473,31.991079000000003
56,"26,27,81",3,"120,121,122",3,mandatory_split,3,7065.1609,17.72942
57,"122,123,128,129,130",5,"123,124,125,126,127",5,mandatory_split,5,6609.653,16.91453
58,28,1,24,1,normal,1,2933.964,9.833463
59,"16,17,18",3,"128,129,130",3,mandatory_split,3,8831.02556,23.245070000000002
60,"6,7,8,69",4,"131,132,133,134",4,mandatory_split,4,9906.6292,26.017590000000002
61,"20,31,103,104",4,"135,136,137,138",4,mandatory_split,4,6014.0655,18.804486
62,"57,58,59",3,"139,140,141",3,mandatory_split,3,8804.294399999999,25.160673000000003
63,"37,38,39",3,"142,143,144",3,mandatory_split,3,8692.99,23.77785
64,"23,24,25",3,"145,146,147",3,mandatory_split,3,8849.7672,21.496679999999998
65,"83,84,85,108,109",5,"148,149,150,151,152",5,mandatory_split,5,6552.5867,17.979093
66,1,1,25,1,normal,1,2825.778817,8.6796
67,60,1,26,1,normal,1,2885.641443,8.92494
68,"55,95,96,97",4,"153,154,155,156",4,mandatory_split,4,7414.9874,17.4329
69,35,1,27,1,normal,1,2288.8859,6.06402
70,"14,15",2,"157,158",2,mandatory_split,2,5674.651,16.36573
71,"100,113,118",3,"159,160,161",3,mandatory_split,3,3067.0688,10.0436
72,63,1,28,1,normal,1,2725.3232,7.50056
73,"8,105,106",3,"162,163,164",3,mandatory_split,3,3003.175395,7.5462
74,"49,78,79",3,"165,166,167",3,mandatory_split,3,4418.048634,10.93872
75,"29,64",2,"168,169",2,mandatory_split,2,3017.4406,7.857519999999999
76,3,1,29,1,normal,1,1256.3017,4.028617
77,61,1,30,1,normal,1,1968.2668,5.09682
78,64,1,31,1,normal,1,1882.391,4.7241
79,2,1,32,1,normal,1,2315.13,7.36652
80,35,1,33,1,normal,1,506.3405,1.90288
81,86,1,34,1,normal,1,1343.6123,3.64803
82,71,1,35,1,normal,1,1493.082,4.67276
83,53,1,36,1,normal,1,926.8409,2.79316
84,36,1,37,1,normal,1,1605.2619,4.36803
85,4,1,38,1,normal,1,593.8303,1.42095
86,29,1,39,1,normal,1,532.895,2.84858
87,15,1,40,1,normal,1,180.291,0.46473
88,8,1,41,1,normal,1,79.6007,0.53748
89,36,1,42,1,normal,1,46.248,0.2733
90,18,1,43,1,normal,1,100.6088,0.22653
91,61,1,44,1,normal,1,70.435,0.39102
92,31,1,45,1,normal,1,1524.5125,3.82045
93,20,1,46,1,normal,1,97.6961,0.33417
94,27,1,47,1,normal,1,9.186,0.01795
95,61,1,48,1,normal,1,109.35,0.29746
97,3,1,49,1,normal,1,17.48,0.04201
98,92,1,50,1,normal,1,25.5,0.0646
