route_key,vehicle_type,unit_ids,unit_count,best_cost,current_cover_cost,current_cover_route_count,current_cost_saving,single_stop_flag,big_route_flag,mixed_big_route_flag,piggyback_big_route_flag,promotion_like_big_route_flag,blocking_big_flexible_route_flag,blocking_big_flexible_unit_count,avg_time_window_overlap_min,candidate_score,candidate_family,pool_pass,roles,selected_in_pass1,selected_in_pass2,selected_in_pass3,selected_in_final
ev_1250|0,ev_1250,0,1,451.165441,828.636086,1,377.470645,1,0,0,0,0,0,0,0.0,377.470645,support,base,singleton,0,0,0,0
"ev_1250|0,13",ev_1250,"0,13",2,542.482855,1521.712105,2,979.22925,0,0,0,0,0,0,0,56.0,987.048866,flex_small,base,flex_small,0,0,0,0
"ev_1250|0,17",ev_1250,"0,17",2,474.485574,1449.741701,2,975.256127,0,0,0,0,0,0,0,0.0,973.417684,flex_small,base,flex_small,0,0,0,0
"ev_1250|0,61",ev_1250,"0,61",2,481.565959,1621.603304,2,1140.037345,0,0,0,0,0,0,0,0.0,1138.735814,flex_small,base,flex_small,0,0,0,0
ev_1250|1,ev_1250,1,1,495.206953,929.343459,1,434.136506,1,0,0,0,0,0,0,0.0,434.136506,support,base,singleton,0,0,0,0
"ev_1250|1,3",ev_1250,"1,3",2,565.464065,1507.04797,2,941.583904,0,0,0,0,0,0,0,0.0,940.476721,flex_small,base,flex_small,0,0,0,0
"ev_1250|1,48",ev_1250,"1,48",2,535.662934,1482.157938,2,946.495004,0,0,0,0,0,0,0,48.0,956.335583,flex_small,base,flex_small,0,0,0,0
"ev_1250|1,61",ev_1250,"1,61",2,574.705707,1722.310677,2,1147.604969,0,0,0,0,0,0,0,0.0,1147.040391,flex_small,base,flex_small,0,0,0,0
"ev_1250|1,69",ev_1250,"1,69",2,520.775256,929.343459,1,408.568203,0,0,0,0,0,0,0,0.0,407.167439,flex_small,base,flex_small,0,0,0,0
ev_1250|3,ev_1250,3,1,462.990488,577.704511,1,114.714022,1,0,0,0,0,0,0,0.0,114.714022,support,base,singleton,0,0,0,0
