route_id,vehicle_type,vehicle_instance,stop_index,unit_id,orig_cust_id,unit_type,visit_index,required_visit_count,source_order_ids,arrival_min,arrival_hhmm,service_start_min,service_start_hhmm,service_end_min,service_end_hhmm,waiting_min,late_min,delivered_weight_kg,delivered_volume_m3,remaining_weight_after_stop_kg,remaining_volume_after_stop_m3,tw_start_min,tw_start_hhmm,tw_end_min,tw_end_hhmm,after_hours_service_flag,late_positive_flag
1,ev_1250,1,1,19,37,normal,1,1,"443,582,923,1063,1254,1260,1292,1307,1357,1496,1531,1657,1871",157.5,10:37,157.5,10:37,177.5,10:57,0.0,0.0,564.949,1.8194,532.895,2.84858,85,09:25,163,10:43,0,0
1,ev_1250,1,2,39,86,normal,1,1,"360,361,409,1058,1225,1891,1912",210.2,11:30,210.2,11:30,230.2,11:50,0.0,0.0,532.895,2.84858,0.0,0.0,126,10:06,215,11:35,0,0
2,ev_1250,2,1,49,97,normal,1,1,651,342.1,13:42,342.1,13:42,362.1,14:02,0.0,0.0,17.48,0.04201,1124.5905,3.6687,342,13:42,431,15:11,0,0
2,ev_1250,2,2,48,95,normal,1,1,1999,393.0,14:33,393.0,14:33,413.0,14:53,0.0,0.0,109.35,0.29746,1015.2405,3.37124,385,14:25,454,15:34,0,0
2,ev_1250,2,3,174,75,mandatory_split,2,2,"613,900,957,1002,1034,1042,1064,1173,1223,1259,1350,1440,1626,1651,1753,1765,1771,1949,1970,2087",461.6,15:42,461.6,15:42,481.6,16:02,0.0,0.0,1015.2405,3.37124,0.0,0.0,385,14:25,465,15:45,0,0
3,ev_1250,3,1,62,10,mandatory_split,2,3,"4,14,16,57,179,191,269",700.3,19:40,700.3,19:40,720.3,20:00,0.0,0.0,1246.3786,5.46714,0.0,0.0,700,19:40,749,20:29,0,0
4,ev_1250,4,1,68,28,mandatory_split,3,3,"901,1177,1355,2012",696.5,19:37,696.5,19:37,716.5,19:57,0.0,0.0,1246.3795,3.16196,0.0,0.0,687,19:27,755,20:35,0,0
5,ev_1250,5,1,74,39,mandatory_split,1,3,"354,1632,2132",405.3,14:45,405.3,14:45,425.3,15:05,0.0,0.0,1245.3641,2.86177,0.0,0.0,368,14:08,420,15:00,0,0
6,ev_1250,6,1,78,42,mandatory_split,2,4,"746,1711",199.5,11:19,199.5,11:19,219.5,11:39,0.0,0.0,1243.2998,2.40594,0.0,0.0,134,10:14,201,11:21,0,0
7,ev_1250,7,1,86,44,mandatory_split,2,4,"779,919,1359,1513,1782",542.1,17:02,542.1,17:02,562.1,17:22,0.0,0.0,1248.3566,2.90366,0.0,0.0,541,17:01,629,18:29,0,0
8,ev_1250,8,1,87,44,mandatory_split,3,4,"383,942",542.1,17:02,542.1,17:02,562.1,17:22,0.0,0.0,1248.284,2.84909,0.0,0.0,541,17:01,629,18:29,0,0
9,ev_1250,9,1,88,44,mandatory_split,4,4,"327,674,1144",542.1,17:02,542.1,17:02,562.1,17:22,0.0,0.0,1248.217,3.17884,0.0,0.0,541,17:01,629,18:29,0,0
10,ev_1250,10,1,107,52,mandatory_split,1,5,"426,671,982",511.6,16:32,511.6,16:32,531.6,16:52,0.0,0.0,1247.9146,2.84981,0.0,0.0,425,15:05,512,16:32,0,0
11,ev_1250,11,1,141,61,mandatory_split,2,4,"464,472,656,702,778,1087,1103,1132,1136,1379,1825,1903,1934,2015,2059",258.7,12:19,258.7,12:19,278.7,12:39,0.0,0.0,1249.7546,3.981786,0.0,0.0,257,12:17,343,13:43,0,0
12,ev_1250,12,1,154,65,mandatory_split,2,5,"349,979,1013,2088",539.6,17:00,539.6,17:00,559.6,17:20,0.0,0.0,1249.7897,2.12534,0.0,0.0,477,15:57,563,17:23,0,0
13,ev_1250,13,1,164,71,mandatory_split,1,3,"1018,1071,1285,1332,1431,1855,1939,2014",763.8,20:44,763.8,20:44,783.8,21:04,0.0,0.0,1247.3338,4.84749,0.0,0.0,679,19:19,765,20:45,0,0
14,ev_1250,14,1,168,73,mandatory_split,2,3,"388,423,519,823,1567,1843",376.9,14:17,376.9,14:17,396.9,14:37,0.0,0.0,1248.095,2.62153,0.0,0.0,322,13:22,377,14:17,0,0
15,ev_1250,15,1,169,73,mandatory_split,3,3,"307,525,1600",376.9,14:17,376.9,14:17,396.9,14:37,0.0,0.0,1247.8439,3.18236,0.0,0.0,322,13:22,377,14:17,0,0
16,ev_3000,1,1,3,5,normal,1,1,"9,29,43,46,52,81,88,89,96,103,112,126,128,152,157,166,177,238,254,267,279,292,293",687.7,19:28,688.0,19:28,708.0,19:48,0.3,0.0,731.6005,2.31239,1968.2668,5.09682,688,19:28,746,20:26,0,0
16,ev_3000,1,2,30,77,normal,1,1,"323,335,493,560,749,821,868,1198,1338,1368,1492,1760,1818,1820,1857,2090,2104",771.6,20:52,771.6,20:52,791.6,21:12,0.0,34.6,1968.2668,5.09682,0.0,0.0,656,18:56,737,20:17,0,1
17,ev_3000,2,1,18,35,normal,1,1,"397,449,475,771,857,946,1195,1242,1264,1333,1633,1661,1687,1785",186.6,11:07,186.6,11:07,206.6,11:27,0.0,14.6,1692.5786,3.88436,1243.5699,4.47477,89,09:29,172,10:52,0,1
17,ev_3000,2,2,92,46,mandatory_split,1,3,"336,635,695,817,1021,1157,1227,1277,1504,1549,2022,2077,2151",246.4,12:06,246.4,12:06,266.4,12:26,0.0,0.0,1243.5699,4.47477,0.0,0.0,192,11:12,251,12:11,0,0
18,ev_3000,3,1,37,84,normal,1,1,"914,1129,1278,1459,1494,1834,1860,1921,1998,2110",547.4,17:07,547.4,17:07,567.4,17:27,0.0,0.0,1605.2619,4.36803,1379.8722,3.65062,494,16:14,549,17:09,0,0
18,ev_3000,3,2,166,71,mandatory_split,3,3,825,632.7,18:33,679.0,19:19,699.0,19:39,46.3,0.0,1370.5,3.57659,9.3722,0.07403,679,19:19,765,20:45,0,0
18,ev_3000,3,3,9,19,normal,1,1,1701,729.3,20:09,729.3,20:09,749.3,20:29,0.0,0.0,9.3722,0.07403,0.0,0.0,675,19:15,748,20:28,0,0
19,ev_3000,4,1,40,87,normal,1,1,"310,347,359,1447,1638,2003",198.6,11:19,198.6,11:19,218.6,11:39,0.0,0.0,180.291,0.46473,2693.9674,8.73545,198,11:18,282,12:42,0,0
19,ev_3000,4,2,162,70,mandatory_split,1,2,"329,332,333,425,432,465,478,517,669,678,682,753,950,981,986,996,1083,1102,1203,1220,1302,1328,1370,1410,1435,1508,1520,1673,1695,1698,1756,1817,1901,1910,1925,1952",299.9,13:00,299.9,13:00,319.9,13:20,0.0,24.9,2693.9674,8.73545,0.0,0.0,216,11:36,275,12:35,0,1
20,ev_3000,5,1,46,93,normal,1,1,"539,1617",374.1,14:14,374.1,14:14,394.1,14:34,0.0,0.1,97.6961,0.33417,2743.3499,6.76857,292,12:52,374,14:14,0,1
20,ev_3000,5,2,44,91,normal,1,1,"1218,1239,1377,2079",404.8,14:45,520.0,16:40,540.0,17:00,115.2,0.0,70.435,0.39102,2672.9149,6.37755,520,16:40,599,17:59,0,0
20,ev_3000,5,3,64,27,mandatory_split,1,2,1206,590.1,17:50,591.0,17:51,611.0,18:11,0.9,0.0,1798.9699,4.32991,873.945,2.04764,591,17:51,667,19:07,0,0
20,ev_3000,5,4,13,29,normal,1,1,"334,1011,1139",735.9,20:16,735.9,20:16,755.9,20:36,0.0,72.9,873.945,2.04764,0.0,0.0,578,17:38,663,19:03,0,1
21,ev_3000,6,1,65,27,mandatory_split,2,2,"400,468,902,1043,1078,1158,1190,1809",632.5,18:33,632.5,18:33,652.5,18:53,0.0,0.0,1434.6342,3.3098,1525.1911,3.44134,591,17:51,667,19:07,0,0
21,ev_3000,6,2,50,98,normal,1,1,958,677.7,19:18,678.0,19:18,698.0,19:38,0.3,0.0,25.5,0.0646,1499.6911,3.37674,678,19:18,761,20:41,0,0
21,ev_3000,6,3,117,54,mandatory_split,3,5,"390,692,824,927,1052,1154,1175,1561,1668,1830,1882,2150",712.7,19:53,712.7,19:53,732.7,20:13,0.0,68.7,1499.6911,3.37674,0.0,0.0,560,17:20,644,18:44,0,1
22,ev_3000,7,1,75,39,mandatory_split,2,3,2054,419.3,14:59,419.3,14:59,439.3,15:19,0.0,0.0,1301.3552,2.94734,1499.42,3.36063,368,14:08,420,15:00,0,0
22,ev_3000,7,2,119,54,mandatory_split,5,5,"379,845,1430,1577,1642,2004",453.2,15:33,560.0,17:20,580.0,17:40,106.8,0.0,1499.42,3.36063,0.0,0.0,560,17:20,644,18:44,0,0
