orig_cust_id,route_ids,route_visit_count,unit_ids,unit_count,unit_type,required_visit_count,served_weight_kg,served_volume_m3
2,63,1,0,1,normal,1,14.89,0.04317
3,61,1,1,1,normal,1,235.0181,0.70348
4,26,1,2,1,normal,1,1443.5621,3.490997
5,19,1,3,1,normal,1,731.6005,2.31239
6,"32,79",2,"51,52",2,mandatory_split,2,4473.6432,11.9832
7,"111,122,123,124",4,"53,54,55,56",4,mandatory_split,4,7463.2328,18.477137
8,"77,80,81,82",4,"57,58,59,60",4,mandatory_split,4,11807.770223,36.02702
9,62,1,4,1,normal,1,2577.339131,6.65072
10,"1,83,84",3,"61,62,63",3,mandatory_split,3,3759.985,14.55749
11,27,1,5,1,normal,1,1325.5301,4.36316
12,63,1,6,1,normal,1,1726.8416,4.521751
13,99,1,7,1,normal,1,540.0868,1.27918
16,71,1,8,1,normal,1,85.2,0.1931
19,23,1,9,1,normal,1,9.3722,0.07403
24,28,1,10,1,normal,1,1262.1673,2.95599
25,64,1,11,1,normal,1,2528.1351,5.33839
26,65,1,12,1,normal,1,45.8132,0.1362
27,"19,65",2,"64,65",2,mandatory_split,2,3233.6041,7.63971
28,"2,37,84",3,"66,67,68",3,mandatory_split,3,3257.3115,7.9603
29,30,1,13,1,normal,1,873.945,2.04764
30,62,1,14,1,normal,1,334.852,0.73178
31,"61,85,86",3,"69,70,71",3,mandatory_split,3,6771.620800000001,15.44527
32,76,1,15,1,normal,1,442.3342,1.12524
33,88,1,16,1,normal,1,527.2666,1.37982
34,19,1,17,1,normal,1,364.0498,1.5211
35,16,1,18,1,normal,1,1692.5786,3.88436
36,"74,87",2,"72,73",2,mandatory_split,2,3309.2547,10.30776
37,66,1,19,1,normal,1,564.949,1.8194
38,120,1,20,1,normal,1,1261.7326,4.06727
39,"3,20,21",3,"74,75,76",3,mandatory_split,3,4024.8916,10.00717
40,67,1,21,1,normal,1,2691.1358,7.9507
41,68,1,22,1,normal,1,2786.4185,7.943983
42,"4,88,118,119",4,"77,78,79,80",4,mandatory_split,4,6369.3253589999995,15.334832
43,"33,34,35,36",4,"81,82,83,84",4,mandatory_split,4,5061.5806999999995,13.61688
44,"5,6,7,37",4,"85,86,87,88",4,mandatory_split,4,4552.3089,11.62403
45,"38,39,89",3,"89,90,91",3,mandatory_split,3,5799.9256000000005,18.41337
46,"16,90,91",3,"92,93,94",3,mandatory_split,3,3319.8397,10.88662
47,69,1,23,1,normal,1,2803.414845,8.09606
48,"92,93,94",3,"95,96,97",3,mandatory_split,3,8598.7276,21.947164
49,"40,41,42",3,"98,99,100",3,mandatory_split,3,4486.836,13.53895
50,"83,116,117",3,"101,102,103",3,mandatory_split,3,7952.310100000001,21.573381
51,"43,44,45",3,"104,105,106",3,mandatory_split,3,3501.945067,9.75931
52,"8,22,23,46,63",5,"107,108,109,110,111",5,mandatory_split,5,6733.774886,17.158517
53,"47,95,96",3,"112,113,114",3,mandatory_split,3,6963.8459,18.75874
54,"20,21,22,23,65",5,"115,116,117,118,119",5,mandatory_split,5,7432.1245930000005,19.67292
55,"87,113,114,115,128",5,"120,121,122,123,124",5,mandatory_split,5,12197.6473,31.991079000000003
56,"78,112,127",3,"125,126,127",3,mandatory_split,3,7065.1609,17.72942
57,"48,49,50,51,52",5,"128,129,130,131,132",5,mandatory_split,5,6609.653,16.91453
58,70,1,24,1,normal,1,2933.964,9.833463
59,"97,109,110",3,"133,134,135",3,mandatory_split,3,8831.02556,23.245070000000002
60,"53,98,99,100",4,"136,137,138,139",4,mandatory_split,4,9906.6292,26.017590000000002
61,"9,54,90,91",4,"140,141,142,143",4,mandatory_split,4,6014.0655,18.804486
62,"101,102,103",3,"144,145,146",3,mandatory_split,3,8804.294399999999,25.160673
63,"129,130,131",3,"147,148,149",3,mandatory_split,3,8692.99,23.77785
64,"104,105,106",3,"150,151,152",3,mandatory_split,3,8849.7672,21.496679999999998
65,"10,11,55,56,57",5,"153,154,155,156,157",5,mandatory_split,5,6552.5867,17.979093
66,71,1,25,1,normal,1,2825.778817,8.6796
67,72,1,26,1,normal,1,2885.641443,8.92494
68,"58,59,60,107",4,"158,159,160,161",4,mandatory_split,4,7414.9874,17.4329
69,66,1,27,1,normal,1,2288.8859,6.06402
70,"18,24",2,"162,163",2,mandatory_split,2,5674.651,16.36573
71,"12,17,25",3,"164,165,166",3,mandatory_split,3,3067.0688,10.0436
72,73,1,28,1,normal,1,2725.3232,7.50056
73,"13,14,25",3,"167,168,169",3,mandatory_split,3,3003.175395,7.5462
74,"108,125,126",3,"170,171,172",3,mandatory_split,3,4418.048634,10.93872
75,"15,76",2,"173,174",2,mandatory_split,2,3017.4406,7.857519999999999
76,29,1,29,1,normal,1,1256.3017,4.028617
77,25,1,30,1,normal,1,1968.2668,5.09682
78,61,1,31,1,normal,1,1882.391,4.7241
79,75,1,32,1,normal,1,2315.13,7.36652
80,30,1,33,1,normal,1,506.3405,1.90288
81,31,1,34,1,normal,1,1343.6123,3.64803
82,121,1,35,1,normal,1,1493.082,4.67276
83,74,1,36,1,normal,1,926.8409,2.79316
84,17,1,37,1,normal,1,1605.2619,4.36803
85,75,1,38,1,normal,1,593.8303,1.42095
86,76,1,39,1,normal,1,532.895,2.84858
87,18,1,40,1,normal,1,180.291,0.46473
88,77,1,41,1,normal,1,79.6007,0.53748
89,46,1,42,1,normal,1,46.248,0.2733
90,97,1,43,1,normal,1,100.6088,0.22653
91,20,1,44,1,normal,1,70.435,0.39102
92,108,1,45,1,normal,1,1524.5125,3.82045
93,27,1,46,1,normal,1,97.6961,0.33417
94,78,1,47,1,normal,1,9.186,0.01795
95,20,1,48,1,normal,1,109.35,0.29746
97,27,1,49,1,normal,1,17.48,0.04201
98,23,1,50,1,normal,1,25.5,0.0646
