route_key,vehicle_type,unit_ids,unit_count,best_cost,current_cover_cost,current_cover_route_count,current_cost_saving,single_stop_flag,big_route_flag,mixed_big_route_flag,piggyback_big_route_flag,promotion_like_big_route_flag,blocking_big_flexible_route_flag,blocking_big_flexible_unit_count,avg_time_window_overlap_min,candidate_score,coupled_candidate_score,archive_support_count,pheromone_support_score,candidate_family,pool_pass,roles,selected_in_pass1,selected_in_pass2,selected_in_pass3,selected_in_final,selected_in_cost_best,selected_in_balanced_best
ev_1250|0,ev_1250,0,1,451.165441,828.636086,1,377.470645,1,0,0,0,0,0,0,0.0,377.470645,383.015823,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|0,13",ev_1250,"0,13",2,542.482855,1554.15259,2,1011.669736,0,0,0,0,0,0,0,56.0,1019.489352,1025.034529,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|0,17",ev_1250,"0,17",2,474.485574,1368.432424,2,893.94685,0,0,0,0,0,0,0,0.0,892.108407,897.653584,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|0,61",ev_1250,"0,61",2,481.565959,1621.603304,2,1140.037345,0,0,0,0,0,0,0,0.0,1138.735814,1144.280991,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|1,ev_1250,1,1,495.206953,929.343459,1,434.136506,1,0,0,0,0,0,0,0.0,434.136506,437.606155,0,0.542966,support,base,singleton,0,0,0,0,0,0
"ev_1250|1,3",ev_1250,"1,3",2,565.464065,1469.139796,2,903.675731,0,0,0,0,0,0,0,0.0,902.568548,907.143083,0,0.771483,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,48",ev_1250,"1,48",2,535.662934,1500.512854,2,964.84992,0,0,0,0,0,0,0,48.0,974.690498,980.235675,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,61",ev_1250,"1,61",2,574.705707,1722.310677,2,1147.604969,0,0,0,0,0,0,0,0.0,1147.040391,1152.585568,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,69",ev_1250,"1,69",2,520.775256,929.343459,1,408.568203,0,0,0,0,0,0,0,0.0,407.167439,412.712617,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|104,ev_1250,104,1,462.52701,625.419278,1,162.892268,1,0,0,0,0,0,0,0.0,162.892268,164.971746,0,0.296845,support,base,singleton,0,0,0,0,0,0
ev_1250|105,ev_1250,105,1,460.719986,619.112195,1,158.392208,1,0,0,0,0,0,0,0.0,158.392208,161.45851,0,0.4671,support,base,singleton,0,0,0,0,0,0
ev_1250|106,ev_1250,106,1,462.505256,625.343348,1,162.838092,1,0,0,0,0,0,0,0.0,162.838092,166.184099,0,0.519302,support,base,singleton,0,0,0,0,0,0
ev_1250|107,ev_1250,107,1,539.37169,539.37169,1,0.0,1,0,0,0,0,0,0,0.0,0.0,83.346007,4,0.519302,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|12,ev_1250,12,1,505.773685,909.043483,1,403.269798,1,0,0,0,0,0,0,0.0,403.269798,405.37953,0,0.301759,support,base,singleton,0,0,0,0,0,0
"ev_1250|12,44",ev_1250,"12,44",2,496.877807,1480.212878,2,983.335071,0,0,0,0,0,0,0,32.0,990.776748,996.321926,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|12,9",ev_1250,"12,9",2,563.297932,1511.064137,2,947.766205,0,0,0,0,0,0,0,0.0,945.095173,950.640351,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|128,ev_1250,128,1,446.944029,566.286834,1,119.342805,1,0,0,0,0,0,0,0.0,119.342805,122.688811,0,0.519302,support,base,singleton,0,0,0,0,0,0
ev_1250|13,ev_1250,13,1,475.316226,725.516505,1,250.200279,1,0,0,0,0,0,0,0.0,250.200279,255.745456,0,1.0,support,base,singleton,0,0,0,0,0,0
ev_1250|130,ev_1250,130,1,446.94184,566.279467,1,119.337627,1,0,0,0,0,0,0,0.0,119.337627,122.683633,0,0.519302,support,base,singleton,0,0,0,0,0,0
ev_1250|131,ev_1250,131,1,446.933013,566.249755,1,119.316742,1,0,0,0,0,0,0,0.0,119.316742,122.662748,0,0.519302,support,base,singleton,0,0,0,0,0,0
ev_1250|14,ev_1250,14,1,423.236033,611.57437,1,188.338337,1,0,0,0,0,0,0,0.0,188.338337,193.883515,0,1.0,support,base,singleton,0,0,0,0,0,0
