route_id,vehicle_type,power_type,vehicle_instance,unit_sequence,customer_sequence,unit_type_sequence,departure_min,departure_hhmm,return_min,return_hhmm,route_cost,startup_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_wait_min,total_late_min,fuel_l,electricity_kwh,reference_fuel_l,reference_electricity_kwh,route_distance_km,after_hours_travel_km,after_hours_service_count,after_hours_return_flag,late_positive_stop_count,max_late_min,load_used_kg,load_used_m3,weight_utilization,volume_utilization
1,ev_1250,ev,1,"1,69",0->3->31->0,normal->mandatory_split,358,13:58,672.7,19:13,520.775256,400.0,88.410479,17.55541,14.809366,0.0,44.428099,0.0,0.0,53.908829,40.914062,53.908829,136.049307,0.0,0,0,0,0.0,1019.5888,2.35124,0.815671,0.276616
2,ev_1250,ev,2,13,0->29->0,normal,466,15:46,679.4,19:19,475.316226,400.0,62.838557,12.477668,0.0,0.0,0.0,0.0,0.0,38.316194,29.407162,38.316194,100.645103,0.0,0,0,0,0.0,873.945,2.04764,0.699156,0.240899
3,ev_1250,ev,3,"19,39",0->37->86->0,normal->normal,78,09:18,317.7,13:18,486.06046,400.0,71.80279,14.25767,0.0,0.0,0.0,0.0,0.0,43.782189,33.414867,43.782189,107.619328,0.0,0,0,0,0.0,1097.844,4.66798,0.878275,0.549174
4,ev_1250,ev,4,"49,48,174",0->97->95->75->0,normal->normal->mandatory_split,194,11:14,650.9,18:51,552.814479,400.0,127.497645,25.316834,0.0,0.0,0.0,0.0,0.0,77.742467,59.69746,77.742467,190.865871,0.0,0,0,0,0.0,1142.0705,3.71071,0.913656,0.436554
5,ev_1250,ev,5,62,0->10->0,mandatory_split,647,18:47,795.1,21:15,476.67185,400.0,63.969595,12.702255,0.0,0.0,0.0,0.0,0.0,39.005851,29.370771,39.005851,98.277298,13.924494,0,1,0,0.0,1246.3786,5.46714,0.997103,0.643193
6,ev_1250,ev,6,68,0->28->0,mandatory_split,630,18:30,804.6,21:25,495.67368,400.0,79.823384,15.850296,0.0,0.0,0.0,0.0,0.0,48.672795,36.592266,48.672795,122.603813,22.687148,0,1,0,0.0,1246.3795,3.16196,0.997104,0.371995
7,ev_1250,ev,7,74,0->39->0,mandatory_split,300,13:00,646.0,18:46,551.849174,400.0,126.692262,25.156912,0.0,0.0,0.0,0.0,0.0,77.25138,58.630461,77.25138,194.169357,0.0,0,0,0,0.0,1245.3641,2.86177,0.996291,0.336679
8,ev_1250,ev,8,78,0->42->0,mandatory_split,103,09:43,353.6,13:54,497.879508,400.0,81.663772,16.215736,0.0,0.0,0.0,0.0,0.0,49.794983,38.043315,49.794983,125.136368,0.0,0,0,0,0.0,1243.2998,2.40594,0.99464,0.283052
9,ev_1250,ev,9,86,0->44->0,mandatory_split,462,15:42,668.3,19:08,472.578802,400.0,60.554643,12.024158,0.0,0.0,0.0,0.0,0.0,36.923563,28.370462,36.923563,92.727798,0.0,0,0,0,0.0,1248.3566,2.90366,0.998685,0.341607
10,ev_1250,ev,10,87,0->44->0,mandatory_split,462,15:42,668.3,19:08,472.578177,400.0,60.554122,12.024055,0.0,0.0,0.0,0.0,0.0,36.923245,28.370219,36.923245,92.727798,0.0,0,0,0,0.0,1248.284,2.84909,0.998627,0.335187
11,ev_1250,ev,11,88,0->44->0,mandatory_split,462,15:42,668.3,19:08,472.577601,400.0,60.553642,12.023959,0.0,0.0,0.0,0.0,0.0,36.922952,28.369994,36.922952,92.727798,0.0,0,0,0,0.0,1248.217,3.17884,0.998574,0.373981
12,ev_1250,ev,12,107,0->52->0,mandatory_split,382,14:22,705.4,19:45,539.37169,400.0,116.281928,23.089762,0.0,0.0,0.0,0.0,0.0,70.903614,53.958318,70.903614,178.175552,0.0,0,0,0,0.0,1247.9146,2.84981,0.998332,0.335272
13,ev_1250,ev,13,164,0->71->0,mandatory_split,667,19:07,864.9,22:25,516.621638,400.0,97.300886,19.320752,0.0,0.0,0.0,0.0,0.0,59.329809,44.548499,59.329809,149.402283,74.701141,0,1,0,0.0,1247.3338,4.84749,0.997867,0.570293
14,ev_1250,ev,14,168,0->73->0,mandatory_split,289,12:49,507.2,16:27,513.543556,400.0,94.732751,18.810805,0.0,0.0,0.0,0.0,0.0,57.763873,43.56907,57.763873,145.426865,0.0,0,0,0,0.0,1248.095,2.62153,0.998476,0.308415
15,ev_1250,ev,15,169,0->73->0,mandatory_split,289,12:49,507.2,16:27,513.540153,400.0,94.729912,18.810241,0.0,0.0,0.0,0.0,0.0,57.762141,43.567773,57.762141,145.426865,0.0,0,0,0,0.0,1247.8439,3.18236,0.998275,0.374395
16,ev_3000,ev,1,"18,92",0->35->46->0,normal->mandatory_split,0,08:00,364.8,14:05,555.331338,400.0,119.428294,23.714527,0.0,12.188517,0.0,14.626221,0.0,72.822131,55.585209,72.822131,177.546052,0.0,0,0,1,14.626221,2936.1485,8.35913,0.978716,0.557275
17,ev_3000,ev,2,"37,166",0->84->71->0,normal->mandatory_split,385,14:25,801.6,21:22,568.320512,400.0,127.547208,25.326676,15.446629,0.0,46.339887,0.0,0.0,77.772688,59.40602,77.772688,191.644542,19.946141,0,1,0,0.0,2975.7619,7.94462,0.991921,0.529641
18,ev_3000,ev,3,"40,162",0->87->70->0,normal->mandatory_split,68,09:08,467.5,15:48,596.373879,400.0,146.497077,29.089496,0.0,20.787306,0.0,24.944767,0.0,89.327486,67.889199,89.327486,227.88348,0.0,0,0,1,24.944767,2874.2584,9.20018,0.958086,0.613345
19,ev_3000,ev,4,"75,119",0->39->54->0,mandatory_split->mandatory_split,314,13:14,728.5,20:08,591.745547,400.0,130.269061,25.867146,35.609341,0.0,106.828022,0.0,0.0,79.432354,59.69045,79.432354,201.353383,0.0,0,0,0,0.0,2800.7752,6.30797,0.933592,0.420531
20,ev_3000,ev,5,"76,117",0->39->54->0,mandatory_split->mandatory_split,314,13:14,728.5,20:08,593.079743,400.0,131.382219,26.088183,35.609341,0.0,106.828022,0.0,0.0,80.111109,60.197414,80.111109,201.353383,0.0,0,0,0,0.0,2977.8634,7.5748,0.992621,0.504987
21,ev_3000,ev,6,"93,142,15",0->46->61->32->0,mandatory_split->mandatory_split->normal,114,09:54,484.8,16:05,538.554527,400.0,115.600145,22.954382,0.0,0.0,0.0,0.0,0.0,70.487893,53.869394,70.487893,182.017181,0.0,0,0,0,0.0,2871.1222,7.29838,0.957041,0.486559
22,ev_3000,ev,7,"109,116",0->52->54->0,mandatory_split->mandatory_split,371,14:11,728.6,20:09,557.890777,400.0,131.73295,26.157826,0.0,0.0,0.0,0.0,0.0,80.32497,60.933077,80.32497,203.60775,0.0,0,0,0,0.0,2940.837793,8.370277,0.980279,0.558018
23,ev_3000,ev,8,"110,118",0->52->54->0,mandatory_split->mandatory_split,371,14:11,728.6,20:09,556.858129,400.0,130.871381,25.986747,0.0,0.0,0.0,0.0,0.0,79.799623,60.536449,79.799623,203.60775,0.0,0,0,0,0.0,2780.0489,8.48199,0.926683,0.565466
24,ev_3000,ev,9,163,0->70->0,mandatory_split,52,08:52,434.8,15:15,587.965398,400.0,156.825098,31.140301,0.0,0.0,0.0,0.0,0.0,95.62506,72.508834,95.62506,240.481201,0.0,0,0,0,0.0,2980.6836,7.63028,0.993561,0.508685
