feature_type,left_unit_id,right_unit_id,vehicle_family,tau
edge,64,3.0,big,0.6771799567889257
edge,109,116.0,big,0.6771799567889257
start,109,,big,0.6771799567889257
edge,1,69.0,small,0.65618412192394
edge,61,31.0,big,0.65618412192394
edge,94,141.0,big,0.65618412192394
edge,140,46.0,small,0.65618412192394
start,1,,small,0.65618412192394
start,13,,small,0.65618412192394
start,140,,small,0.65618412192394
edge,7,27.0,big,0.6116175465288468
edge,138,41.0,big,0.6116175465288468
start,7,,big,0.6116175465288468
start,79,,small,0.6116175465288468
edge,167,30.0,big,0.5609711199145136
edge,61,72.0,big,0.5430020848649856
edge,75,117.0,big,0.5430020848649856
edge,50,165.0,big,0.529543387873035
edge,36,173.0,big,0.48456538545019257
start,36,,big,0.48456538545019257
edge,19,39.0,small,0.46649791810123387
edge,38,32.0,big,0.46649791810123387
edge,45,104.0,big,0.46649791810123387
edge,77,16.0,big,0.46649791810123387
edge,93,142.0,big,0.46649791810123387
edge,142,15.0,big,0.46649791810123387
start,19,,small,0.46649791810123387
start,45,,big,0.46649791810123387
start,77,,big,0.46649791810123387
start,170,,small,0.46649791810123387
edge,9,102.0,big,0.4638588904534482
edge,105,9.0,big,0.4638588904534482
start,105,,big,0.4638588904534482
start,80,,small,0.4621726673706058
edge,64,13.0,big,0.46153740764068296
edge,44,64.0,big,0.4608962307530969
edge,30,50.0,big,0.46075032963410306
edge,4,14.0,big,0.4340023748133785
edge,6,111.0,big,0.4340023748133785
edge,18,92.0,big,0.4340023748133785
edge,25,8.0,big,0.4340023748133785
edge,37,166.0,big,0.4340023748133785
edge,40,162.0,big,0.4340023748133785
edge,48,174.0,small,0.4340023748133785
edge,49,48.0,small,0.4340023748133785
edge,63,66.0,big,0.4340023748133785
edge,73,124.0,big,0.4340023748133785
edge,85,67.0,small,0.4340023748133785
edge,108,42.0,small,0.4340023748133785
edge,110,118.0,big,0.4340023748133785
edge,111,0.0,big,0.4340023748133785
edge,113,17.0,big,0.4340023748133785
edge,133,43.0,big,0.4340023748133785
start,2,,small,0.4340023748133785
start,4,,big,0.4340023748133785
start,5,,small,0.4340023748133785
start,6,,big,0.4340023748133785
start,10,,small,0.4340023748133785
start,11,,big,0.4340023748133785
start,18,,big,0.4340023748133785
start,20,,small,0.4340023748133785
start,21,,big,0.4340023748133785
start,22,,big,0.4340023748133785
start,23,,big,0.4340023748133785
start,24,,big,0.4340023748133785
start,25,,big,0.4340023748133785
start,26,,big,0.4340023748133785
start,28,,big,0.4340023748133785
start,29,,small,0.4340023748133785
start,34,,small,0.4340023748133785
start,35,,small,0.4340023748133785
start,37,,big,0.4340023748133785
start,38,,big,0.4340023748133785
start,40,,big,0.4340023748133785
start,47,,big,0.4340023748133785
start,49,,small,0.4340023748133785
start,51,,small,0.4340023748133785
start,52,,big,0.4340023748133785
start,53,,small,0.4340023748133785
start,54,,small,0.4340023748133785
start,55,,big,0.4340023748133785
start,56,,small,0.4340023748133785
start,57,,big,0.4340023748133785
start,58,,big,0.4340023748133785
start,59,,big,0.4340023748133785
start,60,,big,0.4340023748133785
start,62,,small,0.4340023748133785
start,63,,big,0.4340023748133785
start,68,,small,0.4340023748133785
start,70,,big,0.4340023748133785
start,71,,big,0.4340023748133785
start,73,,big,0.4340023748133785
start,74,,small,0.4340023748133785
start,75,,big,0.4340023748133785
start,76,,big,0.4340023748133785
start,78,,small,0.4340023748133785
start,81,,small,0.4340023748133785
start,82,,small,0.4340023748133785
start,83,,small,0.4340023748133785
start,84,,small,0.4340023748133785
start,85,,small,0.4340023748133785
start,86,,small,0.4340023748133785
start,87,,small,0.4340023748133785
start,88,,small,0.4340023748133785
start,89,,small,0.4340023748133785
start,90,,big,0.4340023748133785
start,91,,small,0.4340023748133785
start,93,,big,0.4340023748133785
start,94,,big,0.4340023748133785
start,95,,big,0.4340023748133785
start,96,,big,0.4340023748133785
start,97,,big,0.4340023748133785
start,98,,small,0.4340023748133785
start,99,,small,0.4340023748133785
start,100,,small,0.4340023748133785
start,101,,big,0.4340023748133785
start,103,,big,0.4340023748133785
start,106,,small,0.4340023748133785
start,107,,small,0.4340023748133785
start,108,,small,0.4340023748133785
start,110,,big,0.4340023748133785
start,112,,big,0.4340023748133785
