route_key,vehicle_type,unit_ids,unit_count,best_cost,current_cover_cost,current_cover_route_count,current_cost_saving,single_stop_flag,big_route_flag,mixed_big_route_flag,piggyback_big_route_flag,promotion_like_big_route_flag,blocking_big_flexible_route_flag,blocking_big_flexible_unit_count,avg_time_window_overlap_min,candidate_score,coupled_candidate_score,archive_support_count,pheromone_support_score,candidate_family,pool_pass,roles,selected_in_pass1,selected_in_pass2,selected_in_pass3,selected_in_final,selected_in_cost_best,selected_in_balanced_best
ev_1250|0,ev_1250,0,1,451.165441,828.636086,1,377.470645,1,0,0,0,0,0,0,0.0,377.470645,383.015823,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|0,13",ev_1250,"0,13",2,542.482855,1303.952312,2,761.469457,0,0,0,0,0,0,0,56.0,769.289073,814.834251,2,1.00574,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|0,17",ev_1250,"0,17",2,474.485574,1449.741701,2,975.256127,0,0,0,0,0,0,0,0.0,973.417684,978.962861,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|0,61",ev_1250,"0,61",2,481.565959,1600.419545,2,1118.853586,0,0,0,0,0,0,0,0.0,1117.552055,1123.097232,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|1,ev_1250,1,1,495.206953,520.775256,1,25.568303,1,0,0,0,0,0,0,0.0,25.568303,69.928526,2,1.01148,support,base,singleton,0,0,0,0,0,0
"ev_1250|1,3",ev_1250,"1,3",2,565.464065,1307.717039,2,742.252974,0,0,0,0,0,0,0,0.0,741.14579,786.690968,2,1.00574,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,48",ev_1250,"1,48",2,535.662934,1073.589735,2,537.926801,0,0,0,0,0,0,0,48.0,547.76738,593.312557,2,1.00574,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,61",ev_1250,"1,61",2,574.705707,1292.558715,2,717.853007,0,0,0,0,0,0,0,0.0,717.288429,762.833606,2,1.00574,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,69",ev_1250,"1,69",2,520.775256,520.775256,1,0.0,0,0,0,0,0,0,0,0.0,-1.400764,84.144414,4,1.01148,flex_small,base,"current,flex_small,seed",1,1,0,1,1,1
ev_1250|104,ev_1250,104,1,462.52701,621.199769,1,158.672758,1,0,0,0,0,0,0,0.0,158.672758,161.257851,0,0.381454,support,base,singleton,0,0,0,0,0,0
ev_1250|105,ev_1250,105,1,460.719986,874.851359,1,414.131372,1,0,0,0,0,0,0,0.0,414.131372,416.716465,0,0.381454,support,base,singleton,0,0,0,0,0,0
ev_1250|106,ev_1250,106,1,462.505256,625.343348,1,162.838092,1,0,0,0,0,0,0,0.0,162.838092,166.527052,0,0.585849,support,base,singleton,0,0,0,0,0,0
ev_1250|107,ev_1250,107,1,539.37169,539.37169,1,0.0,1,0,0,0,0,0,0,0.0,0.0,83.68896,4,0.585849,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|12,ev_1250,12,1,505.773685,910.577378,1,404.803693,1,0,0,0,0,0,0,0.0,404.803693,408.201089,0,0.529093,support,base,singleton,0,0,0,0,0,0
"ev_1250|12,44",ev_1250,"12,44",2,496.877807,1697.519161,2,1200.641354,0,0,0,0,0,0,0,32.0,1208.083031,1213.628209,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|12,9",ev_1250,"12,9",2,563.297932,1785.428737,2,1222.130804,0,0,0,0,0,0,0,0.0,1219.459773,1225.004951,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|128,ev_1250,128,1,446.944029,566.286834,1,119.342805,1,0,0,0,0,0,0,0.0,119.342805,123.031764,0,0.585849,support,base,singleton,0,0,0,0,0,0
ev_1250|13,ev_1250,13,1,475.316226,475.316226,1,0.0,1,0,0,0,0,0,0,0.0,0.0,84.360223,4,1.01148,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|130,ev_1250,130,1,446.94184,566.279467,1,119.337627,1,0,0,0,0,0,0,0.0,119.337627,123.026587,0,0.585849,support,base,singleton,0,0,0,0,0,0
ev_1250|131,ev_1250,131,1,446.933013,566.249755,1,119.316742,1,0,0,0,0,0,0,0.0,119.316742,123.005701,0,0.585849,support,base,singleton,0,0,0,0,0,0
ev_1250|14,ev_1250,14,1,423.236033,611.57437,1,188.338337,1,0,0,0,0,0,0,0.0,188.338337,193.883515,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|14,7",ev_1250,"14,7",2,460.092791,1469.914994,2,1009.822203,0,0,0,0,0,0,0,52.0,1020.822497,1026.367674,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|140,ev_1250,140,1,489.134888,805.226077,1,316.09119,1,0,0,0,0,0,0,0.0,316.09119,321.682154,0,1.01148,support,base,singleton,0,0,0,0,0,0
ev_1250|141,ev_1250,141,1,489.152301,788.524055,1,299.371754,1,0,0,0,0,0,0,0.0,299.371754,383.002593,4,0.57437,support,base,singleton,0,0,0,0,0,0
ev_1250|15,ev_1250,15,1,527.532439,538.554527,1,11.022088,1,0,0,0,0,0,0,0.0,11.022088,16.567266,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|15,44",ev_1250,"15,44",2,550.059673,1325.49631,2,775.436637,0,0,0,0,0,0,0,0.0,774.424006,779.969183,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|15,46",ev_1250,"15,46",2,532.395272,1343.780605,2,811.385333,0,0,0,0,0,0,0,66.0,826.713252,832.25843,0,1.0,flex_small,base,"cluster_flex_small,flex_small",0,0,0,0,0,0
ev_1250|154,ev_1250,154,1,468.025075,644.866329,1,176.841254,1,0,0,0,0,0,0,0.0,176.841254,260.530214,4,0.585849,support,base,singleton,0,0,0,0,0,0
ev_1250|156,ev_1250,156,1,468.018465,644.843545,1,176.82508,1,0,0,0,0,0,0,0.0,176.82508,180.51404,0,0.585849,support,base,singleton,0,0,0,0,0,0
ev_1250|16,ev_1250,16,1,482.566413,762.620389,1,280.053976,1,0,0,0,0,0,0,0.0,280.053976,285.599153,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|16,40",ev_1250,"16,40",2,526.822401,1358.994267,2,832.171867,0,0,0,0,0,0,0,53.0,842.855963,848.401141,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
