generation,particle_id,source_mode,operator_name,destroy_ratio,construction_temperature,candidate_total_cost,candidate_route_count,candidate_single_stop_route_count,candidate_label,candidate_is_balanced_best,archive_injected_route_count,accepted_current,accepted_pbest,accepted_gbest
0,0,construct,construct,0.12,1.0,88071.677305,133,98,pass2,0,20,1,1,0
0,1,construct,construct,0.14,1.0,88071.677305,133,98,pass1,0,27,1,1,0
0,2,construct,construct,0.16,1.0,87994.716383,132,95,pass1,0,27,1,1,0
0,3,construct,construct,0.18,1.0,87980.911494,132,98,pass1,0,24,1,1,0
1,0,current,typed_route_merge_remove,0.147205,1.126395,88071.677305,133,98,pass1,0,26,0,0,0
1,1,global_best_balanced,late_route_remove,0.147587,1.03375,87725.08292,132,96,pass1,1,26,1,1,0
1,2,global_best_cost,typed_route_merge_remove,0.143276,0.929444,87384.200654,132,97,pass1,0,24,1,1,1
1,3,global_best_balanced,worst_cost_remove,0.177163,0.987665,87725.08292,132,96,candidate,1,25,1,1,0
2,0,global_best_balanced,typed_route_merge_remove,0.156956,1.175489,87725.08292,132,96,pass1,1,25,1,1,0
2,1,current,typed_route_merge_remove,0.118509,0.91026,87725.08292,132,96,pass1,1,25,0,0,0
2,2,personal_best,cluster_remove,0.151949,0.965392,87398.741433,132,97,pass1,0,25,0,0,0
2,3,current,mandatory_split_cluster_remove,0.18222,1.009758,87725.08292,132,96,pass1,1,25,0,0,0
3,0,current,late_route_remove,0.151199,1.146248,87695.293117,132,96,pass1,1,25,1,1,0
3,1,global_best_cost,mandatory_split_cluster_remove,0.098012,0.832187,87384.200654,132,97,pass1,0,25,1,1,0
3,2,current,typed_route_merge_remove,0.119714,0.838406,87384.200654,132,97,pass1,0,22,0,0,0
3,3,current,mandatory_split_cluster_remove,0.207268,1.126704,87725.08292,132,96,pass1,0,22,0,0,0
