feature_type,left_unit_id,right_unit_id,vehicle_family,tau
edge,1,97.0,big,1.011340017210302
edge,3,102.0,big,1.011340017210302
edge,5,46.0,small,1.011340017210302
edge,12,115.0,big,1.011340017210302
edge,15,140.0,big,1.011340017210302
edge,18,141.0,big,1.011340017210302
edge,19,39.0,small,1.011340017210302
edge,20,6.0,big,1.011340017210302
edge,33,165.0,big,1.011340017210302
edge,34,0.0,small,1.011340017210302
edge,38,32.0,big,1.011340017210302
edge,44,30.0,big,1.011340017210302
edge,45,104.0,big,1.011340017210302
edge,47,69.0,big,1.011340017210302
edge,61,31.0,big,1.011340017210302
edge,72,33.0,big,1.011340017210302
edge,75,50.0,small,1.011340017210302
edge,76,117.0,big,1.011340017210302
edge,77,16.0,big,1.011340017210302
edge,92,15.0,big,1.011340017210302
edge,93,142.0,big,1.011340017210302
edge,94,110.0,big,1.011340017210302
edge,108,9.0,small,1.011340017210302
edge,109,118.0,big,1.011340017210302
edge,111,42.0,small,1.011340017210302
edge,115,65.0,big,1.011340017210302
edge,116,105.0,big,1.011340017210302
edge,167,116.0,big,1.011340017210302
edge,173,47.0,big,1.011340017210302
start,3,,big,1.011340017210302
start,12,,big,1.011340017210302
start,19,,small,1.011340017210302
start,20,,big,1.011340017210302
start,44,,big,1.011340017210302
start,45,,big,1.011340017210302
start,72,,big,1.011340017210302
start,75,,small,1.011340017210302
start,77,,big,1.011340017210302
start,80,,small,1.011340017210302
start,92,,big,1.011340017210302
start,109,,big,1.011340017210302
start,111,,small,1.011340017210302
start,119,,small,1.011340017210302
start,127,,big,1.011340017210302
start,170,,small,1.011340017210302
start,173,,big,1.011340017210302
edge,4,14.0,big,0.8881614156346012
edge,13,64.0,big,0.8881614156346012
edge,25,8.0,big,0.8881614156346012
edge,37,166.0,big,0.8881614156346012
edge,40,162.0,big,0.8881614156346012
edge,41,79.0,small,0.8881614156346012
edge,48,174.0,small,0.8881614156346012
edge,49,48.0,small,0.8881614156346012
edge,63,66.0,big,0.8881614156346012
edge,73,124.0,big,0.8881614156346012
edge,85,67.0,small,0.8881614156346012
edge,113,17.0,big,0.8881614156346012
edge,133,43.0,big,0.8881614156346012
edge,138,7.0,big,0.8881614156346012
start,1,,big,0.8881614156346012
start,2,,small,0.8881614156346012
start,4,,big,0.8881614156346012
start,5,,small,0.8881614156346012
start,10,,small,0.8881614156346012
start,11,,big,0.8881614156346012
start,13,,big,0.8881614156346012
start,18,,big,0.8881614156346012
start,21,,big,0.8881614156346012
start,22,,big,0.8881614156346012
start,23,,big,0.8881614156346012
start,24,,big,0.8881614156346012
start,25,,big,0.8881614156346012
start,26,,big,0.8881614156346012
start,27,,big,0.8881614156346012
start,28,,big,0.8881614156346012
start,29,,small,0.8881614156346012
start,34,,small,0.8881614156346012
start,35,,small,0.8881614156346012
start,36,,small,0.8881614156346012
start,37,,big,0.8881614156346012
start,38,,big,0.8881614156346012
start,40,,big,0.8881614156346012
start,41,,small,0.8881614156346012
start,49,,small,0.8881614156346012
start,51,,small,0.8881614156346012
start,52,,big,0.8881614156346012
start,53,,small,0.8881614156346012
start,54,,small,0.8881614156346012
start,55,,big,0.8881614156346012
start,56,,small,0.8881614156346012
start,57,,big,0.8881614156346012
start,58,,big,0.8881614156346012
start,59,,big,0.8881614156346012
start,60,,big,0.8881614156346012
start,61,,big,0.8881614156346012
start,62,,small,0.8881614156346012
start,63,,big,0.8881614156346012
start,68,,small,0.8881614156346012
start,70,,big,0.8881614156346012
start,71,,big,0.8881614156346012
start,73,,big,0.8881614156346012
start,74,,small,0.8881614156346012
start,76,,big,0.8881614156346012
start,78,,small,0.8881614156346012
start,81,,small,0.8881614156346012
start,82,,small,0.8881614156346012
start,83,,small,0.8881614156346012
start,84,,small,0.8881614156346012
start,85,,small,0.8881614156346012
start,86,,small,0.8881614156346012
start,87,,small,0.8881614156346012
start,88,,small,0.8881614156346012
start,89,,small,0.8881614156346012
start,90,,big,0.8881614156346012
start,91,,small,0.8881614156346012
start,93,,big,0.8881614156346012
start,94,,big,0.8881614156346012
start,95,,big,0.8881614156346012
start,96,,big,0.8881614156346012
start,98,,small,0.8881614156346012
start,99,,small,0.8881614156346012
start,100,,small,0.8881614156346012
start,101,,big,0.8881614156346012
start,103,,big,0.8881614156346012
start,106,,small,0.8881614156346012
start,107,,small,0.8881614156346012
start,108,,small,0.8881614156346012
start,112,,big,0.8881614156346012
start,113,,big,0.8881614156346012
start,114,,small,0.8881614156346012
start,120,,big,0.8881614156346012
start,121,,small,0.8881614156346012
start,122,,big,0.8881614156346012
start,123,,big,0.8881614156346012
start,125,,big,0.8881614156346012
start,126,,small,0.8881614156346012
start,128,,small,0.8881614156346012
start,129,,small,0.8881614156346012
start,130,,small,0.8881614156346012
start,131,,small,0.8881614156346012
start,132,,small,0.8881614156346012
start,133,,big,0.8881614156346012
start,134,,big,0.8881614156346012
start,135,,big,0.8881614156346012
start,136,,small,0.8881614156346012
start,137,,big,0.8881614156346012
start,138,,big,0.8881614156346012
start,139,,big,0.8881614156346012
start,143,,small,0.8881614156346012
start,144,,big,0.8881614156346012
start,145,,big,0.8881614156346012
start,146,,big,0.8881614156346012
start,147,,big,0.8881614156346012
start,148,,big,0.8881614156346012
start,149,,big,0.8881614156346012
start,150,,big,0.8881614156346012
start,151,,big,0.8881614156346012
start,152,,big,0.8881614156346012
start,153,,small,0.8881614156346012
start,154,,small,0.8881614156346012
start,155,,small,0.8881614156346012
start,156,,small,0.8881614156346012
start,157,,small,0.8881614156346012
start,158,,small,0.8881614156346012
start,159,,big,0.8881614156346012
start,160,,small,0.8881614156346012
start,161,,small,0.8881614156346012
start,163,,big,0.8881614156346012
start,164,,small,0.8881614156346012
start,167,,big,0.8881614156346012
start,168,,small,0.8881614156346012
start,169,,small,0.8881614156346012
start,171,,small,0.8881614156346012
start,172,,small,0.8881614156346012
edge,1,69.0,big,0.8768213984242992
edge,6,111.0,big,0.8768213984242992
edge,9,50.0,small,0.8768213984242992
edge,12,116.0,small,0.8768213984242992
edge,15,46.0,big,0.8768213984242992
edge,16,30.0,big,0.8768213984242992
edge,18,92.0,big,0.8768213984242992
edge,19,32.0,big,0.8768213984242992
edge,27,33.0,big,0.8768213984242992
edge,30,44.0,big,0.8768213984242992
edge,38,77.0,big,0.8768213984242992
edge,39,173.0,big,0.8768213984242992
edge,46,142.0,big,0.8768213984242992
edge,47,127.0,big,0.8768213984242992
edge,50,3.0,small,0.8768213984242992
edge,61,102.0,big,0.8768213984242992
edge,65,117.0,big,0.8768213984242992
edge,69,31.0,big,0.8768213984242992
edge,75,115.0,big,0.8768213984242992
edge,76,119.0,big,0.8768213984242992
edge,80,109.0,big,0.8768213984242992
edge,93,15.0,big,0.8768213984242992
edge,94,140.0,big,0.8768213984242992
edge,108,42.0,small,0.8768213984242992
edge,110,118.0,big,0.8768213984242992
