generation,particle_id,source_mode,operator_name,destroy_ratio,construction_temperature,candidate_total_cost,candidate_route_count,candidate_single_stop_route_count,candidate_label,accepted_current,accepted_pbest,accepted_gbest
0,0,construct,construct,0.12,1.0,88183.287684,132.0,95.0,pass2,1,1,0
0,1,construct,construct,0.14,1.0,88365.002735,133.0,95.0,pass2,1,1,0
0,2,construct,construct,0.16,1.0,88335.568152,133.0,97.0,pass2,1,1,0
0,3,construct,construct,0.18,1.0,88191.607851,132.0,95.0,pass2,1,1,0
0,4,construct,construct,0.2,1.0,88343.733557,133.0,95.0,pass2,1,1,0
0,5,construct,construct,0.22,1.0,88130.736758,132.0,95.0,pass2,1,1,0
0,6,construct,construct,0.24,1.0,88405.28754,133.0,95.0,pass2,1,1,0
0,7,construct,construct,0.26,1.0,88231.106105,133.0,97.0,pass2,1,1,0
1,0,personal_best,typed_route_merge_remove,0.130835,1.048544,87964.055358,131.0,94.0,pass2,1,1,0
1,1,current,random_remove,0.107691,0.868182,88212.33594,132.0,93.0,pass2,1,1,0
1,2,personal_best,typed_route_merge_remove,0.169637,1.043065,87921.898396,132.0,95.0,pass1,1,1,0
1,3,global_best,mandatory_split_cluster_remove,0.185618,1.024885,87795.786901,132.0,95.0,pass2,1,1,0
1,4,current,worst_cost_remove,0.192892,0.96938,88250.628726,133.0,95.0,pass2,1,1,0
1,5,global_best,mandatory_split_cluster_remove,0.194696,0.895201,87795.786901,132.0,95.0,pass2,1,1,0
1,6,current,random_remove,0.200203,0.840203,,,,,0,0,0
1,7,global_best,worst_cost_remove,0.25,1.144869,87616.609799,132.0,97.0,candidate,1,1,0
2,0,global_best,random_remove,0.105747,0.939548,87654.126448,132.0,96.0,pass2,1,1,0
2,1,current,typed_route_merge_remove,0.098953,0.835622,88212.33594,132.0,93.0,pass1,0,0,0
2,2,global_best,typed_route_merge_remove,0.159214,0.996568,87616.609799,132.0,97.0,pass1,1,1,0
2,3,personal_best,worst_cost_remove,0.164723,0.935349,87795.786901,132.0,95.0,candidate,0,0,0
2,4,global_best,typed_route_merge_remove,0.215299,1.069224,87616.609799,132.0,97.0,pass1,1,1,0
2,5,current,worst_cost_remove,0.198668,0.910896,87795.786901,132.0,95.0,candidate,0,0,0
2,6,current,worst_cost_remove,0.202098,0.847197,87961.456533,132.0,94.0,pass2,1,1,0
2,7,global_best,typed_route_merge_remove,0.25,2.0,87616.609799,132.0,97.0,pass1,0,0,0
3,0,current,typed_route_merge_remove,0.092825,0.887904,87654.126448,132.0,96.0,pass1,0,0,0
3,1,global_best,typed_route_merge_remove,0.098985,0.835736,87616.609799,132.0,97.0,pass1,1,1,0
3,2,global_best,typed_route_merge_remove,0.147772,0.947908,87616.609799,132.0,97.0,pass1,0,0,0
3,3,global_best,random_remove,0.25,2.0,,,,,0,0,0
3,4,personal_best,late_route_remove,0.192154,0.966258,87646.058009,132.0,95.0,pass2,0,0,0
3,5,personal_best,late_route_remove,0.206701,0.943477,88059.509848,133.0,95.0,pass2,0,0,0
3,6,personal_best,late_route_remove,0.191606,0.809187,87961.456533,132.0,94.0,pass1,0,0,0
3,7,current,worst_cost_remove,0.25,2.0,87616.609799,132.0,97.0,candidate,0,0,0
4,0,global_best,worst_cost_remove,0.05,0.57311,87616.609799,132.0,97.0,candidate,1,1,0
4,1,current,mandatory_split_cluster_remove,0.100452,0.841119,87795.786901,132.0,95.0,pass2,0,0,0
4,2,global_best,mandatory_split_cluster_remove,0.136914,0.903932,87931.345775,132.0,96.0,pass2,0,0,0
4,3,global_best,mandatory_split_cluster_remove,0.225848,1.799452,87794.300139,132.0,95.0,pass2,1,1,0
4,4,personal_best,typed_route_merge_remove,0.195293,0.979619,87616.609799,132.0,97.0,pass1,0,0,0
4,5,personal_best,mandatory_split_cluster_remove,0.170695,0.805971,87996.846663,132.0,95.0,pass2,0,0,0
4,6,global_best,random_remove,0.214915,0.896062,,,,,0,0,0
4,7,global_best,typed_route_merge_remove,0.25,2.0,87616.609799,132.0,97.0,pass1,0,0,0
5,0,current,random_remove,0.05,0.512576,87616.609799,132.0,97.0,pass1,0,0,0
5,1,current,late_route_remove,0.097118,0.828939,87683.671115,132.0,96.0,pass2,0,0,0
5,2,current,worst_cost_remove,0.136389,0.90186,87616.609799,132.0,97.0,candidate,0,0,0
5,3,global_best,mandatory_split_cluster_remove,0.228021,1.816642,87795.786901,132.0,95.0,pass2,0,0,0
5,4,personal_best,worst_cost_remove,0.18998,0.957109,87616.609799,132.0,97.0,candidate,0,0,0
5,5,global_best,mandatory_split_cluster_remove,0.175851,0.824356,88049.08591,132.0,96.0,pass2,0,0,0
5,6,global_best,typed_route_merge_remove,0.216917,0.903944,87616.609799,132.0,97.0,pass1,1,1,0
5,7,personal_best,random_remove,0.25,2.0,87560.677995,131.0,96.0,pass2,1,1,1
6,0,personal_best,random_remove,0.05,0.2,87855.381724,133.0,96.0,pass1,0,0,0
6,1,current,late_route_remove,0.05,0.472118,87440.537564,132.0,97.0,pass2,1,1,1
6,2,personal_best,mandatory_split_cluster_remove,0.14183,0.923582,87931.216589,132.0,96.0,pass2,0,0,0
6,3,personal_best,mandatory_split_cluster_remove,0.218285,1.740889,87996.846663,132.0,95.0,pass2,0,0,0
6,4,current,late_route_remove,0.213647,1.061522,87920.259504,133.0,96.0,pass2,0,0,0
6,5,current,mandatory_split_cluster_remove,0.154653,0.751341,87996.846663,132.0,95.0,pass2,0,0,0
6,6,current,worst_cost_remove,0.227886,0.948382,87616.609799,132.0,97.0,candidate,0,0,0
6,7,current,random_remove,0.25,2.0,87537.21206,131.0,98.0,pass1,1,1,0
