vehicle_type,vehicle_instance,route_id,departure_min,departure_hhmm,return_min,return_hhmm,route_cost,after_hours_return_flag
ev_3000,1,1,76.0,09:16,815.4,21:35,1141.03888,1
ev_3000,2,2,74.0,09:14,526.7,16:47,545.679268,0
ev_3000,2,28,527.0,16:47,842.5,22:02,900.943265,1
ev_3000,3,3,79.0,09:19,732.9,20:13,625.741014,0
ev_3000,3,62,733.0,20:13,963.2,24:03,812.732677,1
ev_3000,4,4,63.0,09:03,668.5,19:08,615.094245,0
ev_3000,4,50,669.0,19:09,884.0,22:44,811.340999,1
ev_3000,5,5,0.0,08:00,895.1,22:55,891.776015,1
ev_3000,6,6,106.0,09:46,341.3,13:41,459.352301,0
ev_3000,6,16,342.0,13:42,441.4,15:21,575.645023,0
ev_3000,6,21,442.0,15:22,782.4,21:02,805.355548,1
ev_3000,7,7,90.0,09:30,351.1,13:51,498.129387,0
ev_3000,7,17,352.0,13:52,457.0,15:37,583.953192,0
ev_3000,7,26,457.0,15:37,800.3,21:20,920.987976,1
ev_3000,8,9,104.0,09:44,649.9,18:50,577.659961,0
ev_3000,8,44,650.0,18:50,952.7,23:53,926.02107,1
ev_3000,9,8,104.0,09:44,730.0,20:10,779.940596,0
ev_3000,9,61,730.0,20:10,961.3,24:01,811.126218,1
ev_3000,10,10,80.0,09:20,226.5,11:46,461.81774,0
ev_3000,10,11,227.0,11:47,636.6,18:37,664.207929,0
ev_3000,10,41,637.0,18:37,817.6,21:38,779.082998,1
fuel_3000,1,12,115.0,09:55,194.5,11:14,502.193186,0
fuel_3000,1,31,205.0,11:25,426.8,15:07,717.333551,0
fuel_3000,1,65,444.0,15:24,661.0,19:01,636.180185,0
fuel_3000,1,103,667.0,19:07,807.5,21:28,663.727703,1
fuel_3000,2,13,115.0,09:55,194.5,11:14,502.193186,0
fuel_3000,2,32,205.0,11:25,426.8,15:07,717.333551,0
fuel_3000,2,68,460.0,15:40,668.8,19:09,665.318839,0
fuel_3000,3,14,115.0,09:55,194.5,11:14,502.193186,0
fuel_3000,3,33,206.0,11:26,512.6,16:33,789.339068,0
fuel_3000,3,90,627.0,18:27,694.4,19:34,512.266322,0
fuel_3000,4,18,154.0,10:34,323.4,13:23,585.783238,0
fuel_3000,4,35,324.0,13:24,380.3,14:20,490.055247,0
fuel_3000,4,43,393.0,14:33,678.9,19:19,693.726478,0
fuel_3000,5,19,154.0,10:34,323.4,13:23,585.783238,0
fuel_3000,5,36,324.0,13:24,380.3,14:20,490.055247,0
fuel_3000,5,55,405.0,14:45,637.8,18:38,634.512281,0
fuel_3000,5,100,652.0,18:52,801.4,21:21,679.2307,1
fuel_3000,6,15,154.0,10:34,343.2,13:43,626.523618,0
fuel_3000,6,54,374.0,14:14,731.4,20:11,825.498418,0
fuel_3000,7,20,96.0,09:36,414.2,14:54,891.537504,0
fuel_3000,7,69,460.0,15:40,668.8,19:09,665.318839,0
fuel_3000,8,22,0.0,08:00,421.1,15:01,1095.028635,0
fuel_3000,8,70,460.0,15:40,668.8,19:09,665.318839,0
fuel_3000,9,23,0.0,08:00,421.1,15:01,1095.028635,0
fuel_3000,9,71,467.0,15:47,665.1,19:05,640.487567,0
fuel_3000,9,104,667.0,19:07,807.5,21:28,663.727703,1
fuel_3000,10,24,52.0,08:52,710.5,19:50,1201.678006,0
fuel_3000,11,27,100.0,09:40,667.1,19:07,951.738456,0
fuel_3000,12,25,100.0,09:40,762.2,20:42,966.992055,0
fuel_3000,13,30,146.0,10:26,334.8,13:35,626.083134,0
fuel_3000,13,58,366.0,14:06,469.1,15:49,563.501859,0
fuel_3000,13,74,480.0,16:00,656.8,18:57,601.995302,0
fuel_3000,13,105,667.0,19:07,807.5,21:28,663.727703,1
fuel_3000,14,29,166.0,10:46,679.9,19:20,798.477848,0
fuel_3000,15,34,245.0,12:05,438.4,15:18,716.434814,0
fuel_3000,15,72,467.0,15:47,665.1,19:05,640.487567,0
fuel_3000,15,106,667.0,19:07,807.5,21:28,663.727703,1
fuel_3000,16,37,300.0,13:00,474.6,15:55,741.317365,0
fuel_3000,16,75,480.0,16:00,656.8,18:57,601.995302,0
