order_id,weight_original,volume_original,cust_id,weight,volume,is_imputed_weight,is_imputed_volume,weight_impute_method,volume_impute_method,is_imputed_any,is_oversize_order
189,14.89,0.04317,2,14.89,0.04317,False,False,,,False,False
1,35.7,0.0999,3,35.7,0.0999,False,False,,,False,False
116,96.5321,0.14696,3,96.5321,0.14696,False,False,,,False,False
165,58.84,0.13411,3,58.84,0.13411,False,False,,,False,False
212,8.0,0.03541,3,8.0,0.03541,False,False,,,False,False
265,35.946,0.2871,3,35.946,0.2871,False,False,,,False,False
11,169.068,0.32998,4,169.068,0.32998,False,False,,,False,False
17,10.5,0.02112,4,10.5,0.02112,False,False,,,False,False
61,36.8,,4,36.8,0.0825174813905921,False,True,,customer_density,True,False
70,316.084,0.67618,4,316.084,0.67618,False,False,,,False,False
136,26.496,0.0567,4,26.496,0.0567,False,False,,,False,False
148,18.2172,0.14591,4,18.2172,0.14591,False,False,,,False,False
187,93.9211,0.32219,4,93.9211,0.32219,False,False,,,False,False
216,18.4,0.04268,4,18.4,0.04268,False,False,,,False,False
221,29.25,0.06435,4,29.25,0.06435,False,False,,,False,False
243,6.4,0.0196,4,6.4,0.0196,False,False,,,False,False
271,23.401,0.1713,4,23.401,0.1713,False,False,,,False,False
282,695.0248,1.55847,4,695.0248,1.55847,False,False,,,False,False
9,23.49,0.05707,5,23.49,0.05707,False,False,,,False,False
29,25.4,0.0961,5,25.4,0.0961,False,False,,,False,False
43,16.7553,0.04835,5,16.7553,0.04835,False,False,,,False,False
46,11.2,0.03125,5,11.2,0.03125,False,False,,,False,False
52,6.9,0.02132,5,6.9,0.02132,False,False,,,False,False
81,6.19,0.01171,5,6.19,0.01171,False,False,,,False,False
88,23.628,0.1695,5,23.628,0.1695,False,False,,,False,False
89,9.5946,0.06703,5,9.5946,0.06703,False,False,,,False,False
96,11.737,0.03731,5,11.737,0.03731,False,False,,,False,False
103,133.24,0.37158,5,133.24,0.37158,False,False,,,False,False
112,15.01,0.06575,5,15.01,0.06575,False,False,,,False,False
126,46.05,0.08773,5,46.05,0.08773,False,False,,,False,False
128,36.75,0.0987,5,36.75,0.0987,False,False,,,False,False
152,5.7514,0.04594,5,5.7514,0.04594,False,False,,,False,False
157,13.36,0.04043,5,13.36,0.04043,False,False,,,False,False
166,6.652,0.01366,5,6.652,0.01366,False,False,,,False,False
177,32.8,0.0699,5,32.8,0.0699,False,False,,,False,False
238,31.2,0.0815,5,31.2,0.0815,False,False,,,False,False
