route_id,vehicle_type,power_type,vehicle_instance,unit_sequence,customer_sequence,unit_type_sequence,departure_min,departure_hhmm,return_min,return_hhmm,route_cost,startup_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_wait_min,total_late_min,fuel_l,electricity_kwh,reference_fuel_l,reference_electricity_kwh,route_distance_km,after_hours_travel_km,after_hours_service_count,after_hours_return_flag,late_positive_stop_count,max_late_min,load_used_kg,load_used_m3,weight_utilization,volume_utilization
1,ev_1250,ev,1,"3,165,9,50",0->5->71->19->98->0,normal->mandatory_split->normal->normal,636,18:36,982.4,24:22,674.319603,400.0,134.211185,26.649922,0.045205,113.413291,0.135616,136.095949,0.0,81.836088,61.385119,81.836088,223.885189,149.669682,2,1,2,84.92706,1215.7077,4.07054,0.972566,0.478887
2,ev_1250,ev,2,"41,49,48,174",0->88->97->95->75->0,normal->normal->normal->mandatory_split,170,10:50,666.2,19:06,555.656388,400.0,122.830276,24.390048,2.149286,6.286778,6.447857,7.544134,0.0,74.89651,57.742015,74.89651,184.538444,0.0,0,0,1,7.544134,1221.6712,4.24819,0.977337,0.499787
3,ev_1250,ev,3,62,0->10->0,mandatory_split,641,18:41,798.9,21:19,476.54315,400.0,63.862217,12.680933,0.0,0.0,0.0,0.0,0.0,38.940376,29.422269,38.940376,98.277298,17.405492,0,1,0,0.0,1246.3786,5.46714,0.997103,0.643193
4,ev_1250,ev,4,68,0->28->0,mandatory_split,630,18:30,814.2,21:34,495.498972,400.0,79.67762,15.821352,0.0,0.0,0.0,0.0,0.0,48.583915,36.619005,48.583915,122.603813,31.513994,0,1,0,0.0,1246.3795,3.16196,0.997104,0.371995
5,ev_1250,ev,5,74,0->39->0,mandatory_split,302,13:02,666.5,19:06,551.495106,400.0,126.396853,25.098253,0.0,0.0,0.0,0.0,0.0,77.071252,58.616248,77.071252,194.169357,0.0,0,0,0,0.0,1245.3641,2.86177,0.996291,0.336679
6,ev_1250,ev,6,78,0->42->0,mandatory_split,96,09:36,361.3,14:01,497.753677,400.0,81.558787,16.19489,0.0,0.0,0.0,0.0,0.0,49.730968,38.120382,49.730968,125.136368,0.0,0,0,0,0.0,1243.2998,2.40594,0.99464,0.283052
7,ev_1250,ev,7,86,0->44->0,mandatory_split,453,15:33,673.7,19:14,472.571097,400.0,60.548215,12.022882,0.0,0.0,0.0,0.0,0.0,36.919644,28.520178,36.919644,92.727798,0.0,0,0,0,0.0,1248.3566,2.90366,0.998685,0.341607
8,ev_1250,ev,8,87,0->44->0,mandatory_split,453,15:33,673.7,19:14,472.570471,400.0,60.547693,12.022778,0.0,0.0,0.0,0.0,0.0,36.919325,28.519932,36.919325,92.727798,0.0,0,0,0,0.0,1248.284,2.84909,0.998627,0.335187
9,ev_1250,ev,9,88,0->44->0,mandatory_split,453,15:33,673.7,19:14,472.569894,400.0,60.547211,12.022682,0.0,0.0,0.0,0.0,0.0,36.919031,28.519704,36.919031,92.727798,0.0,0,0,0,0.0,1248.217,3.17884,0.998574,0.373981
10,ev_1250,ev,10,92,0->46->0,mandatory_split,99,09:39,366.2,14:06,501.816471,400.0,84.948496,16.867974,0.0,0.0,0.0,0.0,0.0,51.797864,39.680014,51.797864,130.396194,0.0,0,0,0,0.0,1243.5699,4.47477,0.994856,0.526444
11,ev_1250,ev,11,107,0->52->0,mandatory_split,316,13:16,660.8,19:01,539.101678,400.0,116.056649,23.045029,0.0,0.0,0.0,0.0,0.0,70.766249,53.897628,70.766249,178.175552,0.0,0,0,0,0.0,1247.9146,2.84981,0.998332,0.335272
12,ev_1250,ev,12,154,0->65->0,mandatory_split,458,15:38,669.9,19:10,468.021259,400.0,56.752151,11.269108,0.0,0.0,0.0,0.0,0.0,34.60497,26.754223,34.60497,86.874535,0.0,0,0,0,0.0,1249.7897,2.12534,0.999832,0.25004
13,ev_1250,ev,13,164,0->71->0,mandatory_split,630,18:30,838.1,21:58,516.400357,400.0,97.116264,19.284092,0.0,0.0,0.0,0.0,0.0,59.217234,44.495941,59.217234,149.402283,53.507285,0,1,0,0.0,1247.3338,4.84749,0.997867,0.570293
14,ev_1250,ev,14,168,0->73->0,mandatory_split,239,11:59,520.8,16:41,513.595868,400.0,94.776396,18.819472,0.0,0.0,0.0,0.0,0.0,57.790485,44.136345,57.790485,145.426865,0.0,0,0,0,0.0,1248.095,2.62153,0.998476,0.308415
15,ev_1250,ev,15,169,0->73->0,mandatory_split,239,11:59,520.8,16:41,513.592463,400.0,94.773556,18.818908,0.0,0.0,0.0,0.0,0.0,57.788754,44.135027,57.788754,145.426865,0.0,0,0,0,0.0,1247.8439,3.18236,0.998275,0.374395
16,ev_3000,ev,1,"13,64",0->29->27->0,normal->mandatory_split,456,15:36,859.6,22:20,642.490052,400.0,144.230241,28.639377,0.0,69.620434,0.0,83.544521,0.0,87.945269,66.950794,87.945269,224.172138,73.38314,0,1,1,83.544521,2672.9149,6.37755,0.890972,0.42517
17,ev_3000,ev,2,"18,141",0->35->61->0,normal->mandatory_split,0,08:00,387.9,14:28,568.132605,400.0,116.437726,23.120698,0.0,28.574181,0.0,34.289017,0.0,70.998613,54.49416,70.998613,172.062383,0.0,0,0,1,34.289017,2942.3332,7.866146,0.980778,0.52441
18,ev_3000,ev,3,"37,166",0->84->71->0,normal->mandatory_split,372,14:12,807.6,21:28,567.967144,400.0,127.557762,25.328771,15.08061,0.0,45.24183,0.0,0.0,77.779123,59.629985,77.779123,191.644542,25.421641,0,1,0,0.0,2975.7619,7.94462,0.991921,0.529641
19,ev_3000,ev,4,"40,162",0->87->70->0,normal->mandatory_split,39,08:39,492.7,16:13,597.537824,400.0,146.344869,29.059272,0.0,22.133683,0.0,26.560419,0.0,89.234676,68.288319,89.234676,227.88348,0.0,0,0,1,26.560419,2874.2584,9.20018,0.958086,0.613345
20,ev_3000,ev,5,"44,30",0->91->77->0,normal->normal,446,15:26,832.0,21:52,537.311796,400.0,108.609554,21.566281,7.13596,0.0,21.407881,0.0,0.0,66.225338,50.778415,66.225338,180.334055,47.962892,0,1,0,0.0,2038.7018,5.48784,0.679567,0.365856
21,ev_3000,ev,6,"65,117",0->27->54->0,mandatory_split->mandatory_split,412,14:52,799.8,21:20,545.544271,400.0,121.082602,24.043018,0.0,0.418651,0.0,0.502381,0.0,73.830855,56.720215,73.830855,188.781202,18.210201,0,1,1,0.502381,2934.3253,6.68654,0.978108,0.445769
22,ev_3000,ev,7,"75,119",0->39->54->0,mandatory_split->mandatory_split,303,13:03,746.6,20:27,590.453713,400.0,129.777391,25.769517,34.854735,0.052071,104.564204,0.062485,0.0,79.132556,59.71474,79.132556,201.353383,0.0,0,0,1,0.062485,2800.7752,6.30797,0.933592,0.420531
