vehicle_type,vehicle_instance,route_id,departure_min,departure_hhmm,return_min,return_hhmm,route_cost,after_hours_return_flag
ev_1250,1,1,639,18:39,980.6,24:21,671.415014,1
ev_1250,2,2,171,10:51,658.1,18:58,551.735639,0
ev_1250,3,3,644,18:44,796.9,21:17,476.592059,1
ev_1250,4,4,630,18:30,810.0,21:30,495.566667,1
ev_1250,5,5,300,13:00,655.1,18:55,551.652813,0
ev_1250,6,6,100,09:40,357.4,13:57,497.801945,0
ev_1250,7,7,458,15:38,671.0,19:11,472.564649,0
ev_1250,8,8,458,15:38,671.0,19:11,472.564024,0
ev_1250,9,9,458,15:38,671.0,19:11,472.563447,0
ev_1250,10,10,103,09:43,362.0,14:02,501.85897,0
ev_1250,11,11,377,14:17,710.5,19:50,539.231781,0
ev_1250,12,12,462,15:42,667.1,19:07,468.01352,0
ev_1250,13,13,630,18:30,833.9,21:54,516.499203,1
ev_1250,14,14,265,12:25,513.6,16:34,513.529727,0
ev_1250,15,15,265,12:25,513.6,16:34,513.526325,0
ev_3000,1,16,461,15:41,853.6,22:14,634.64799,1
ev_3000,2,17,0,08:00,370.1,14:10,559.601897,0
ev_3000,3,18,379,14:19,804.6,21:25,568.089162,1
ev_3000,4,19,62,09:02,479.4,15:59,596.931608,0
ev_3000,5,20,452,15:32,827.9,21:48,537.346983,1
ev_3000,6,21,417,14:57,794.2,21:14,545.096122,1
ev_3000,7,22,309,13:09,737.0,20:17,590.956005,0
ev_3000,8,23,309,13:09,737.0,20:17,592.300182,0
ev_3000,9,24,365,14:05,737.4,20:17,556.67777,0
ev_3000,10,25,13,08:13,445.5,15:26,587.940983,0
fuel_1500,1,26,680,19:20,793.7,21:14,596.932694,1
fuel_1500,2,27,112,09:52,353.1,13:53,724.903524,0
fuel_1500,3,28,456,15:36,671.4,19:11,666.040344,0
fuel_1500,4,29,391,14:31,737.0,20:17,911.508316,0
fuel_1500,5,30,78,09:18,378.4,14:18,793.407616,0
fuel_1500,6,31,60,09:00,335.9,13:36,783.463312,0
fuel_1500,7,32,60,09:00,190.1,11:10,608.029239,0
fuel_1500,8,33,440,15:20,683.3,19:23,722.945974,0
fuel_1500,9,34,112,09:52,358.0,13:58,743.591079,0
fuel_1500,10,35,142,10:22,336.9,13:37,636.524927,0
fuel_1500,11,36,283,12:43,481.0,16:01,752.901131,0
fuel_1500,12,37,283,12:43,481.0,16:01,752.923585,0
fuel_1500,13,38,283,12:43,481.0,16:01,752.922632,0
fuel_1500,14,39,60,09:00,322.2,13:22,752.479952,0
fuel_1500,15,40,471,15:51,661.6,19:02,618.442467,0
