route_key,vehicle_type,unit_ids,unit_count,best_cost,current_cover_cost,current_cover_route_count,current_cost_saving,single_stop_flag,big_route_flag,big_flexible_route_flag,big_flexible_unit_count,mixed_big_route_flag,piggyback_big_route_flag,promotion_like_big_route_flag,blocking_big_flexible_route_flag,blocking_big_flexible_unit_count,bad_big_flexible_route_flag,bad_big_flexible_unit_count,avg_time_window_overlap_min,candidate_score,candidate_family,pool_pass,roles,saving_vs_pass1_singletons,selected_in_baseline,selected_in_global_pass1,selected_in_global_pass2,selected_in_global_pass3,selected_in_global
ev_1250|0,ev_1250,0,1,451.165441,828.636086,1,377.470645,1,0,0,0,0,0,0,0,0,0,0,0.0,377.470645,support,base,singleton,,0,0,0,0,0
"ev_1250|0,13",ev_1250,"0,13",2,542.482855,1456.338296,2,913.855441,0,0,0,0,0,0,0,0,0,0,0,56.0,921.675057,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|0,17",ev_1250,"0,17",2,474.485574,1516.499719,2,1042.014145,0,0,0,0,0,0,0,0,0,0,0,0.0,1040.175702,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|0,61",ev_1250,"0,61",2,481.565959,1621.603304,2,1140.037345,0,0,0,0,0,0,0,0,0,0,0,0.0,1138.735814,flex_small,base,flex_small,,0,0,0,0,0
ev_1250|1,ev_1250,1,1,495.206953,929.343459,1,434.136506,1,0,0,0,0,0,0,0,0,0,0,0.0,434.136506,support,base,singleton,,0,0,0,0,0
"ev_1250|1,3",ev_1250,"1,3",2,565.464065,1435.00814,2,869.544075,0,0,0,0,0,0,0,0,0,0,0,0.0,868.436892,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|1,48",ev_1250,"1,48",2,535.662934,1480.690323,2,945.027389,0,0,0,0,0,0,0,0,0,0,0,48.0,954.867968,flex_small,base,"cluster_flex_small,flex_small",498.899599,0,0,0,0,0
"ev_1250|1,61",ev_1250,"1,61",2,574.705707,1722.310677,2,1147.604969,0,0,0,0,0,0,0,0,0,0,0,0.0,1147.040391,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|1,69",ev_1250,"1,69",2,520.775256,929.343459,1,408.568203,0,0,0,0,0,0,0,0,0,0,0,0.0,407.167439,flex_small,base,flex_small,,0,0,0,0,0
ev_1250|3,ev_1250,3,1,462.990488,505.664682,1,42.674193,1,0,0,0,0,0,0,0,0,0,0,0.0,42.674193,support,base,singleton,,0,0,0,0,0
"ev_1250|3,9",ev_1250,"3,9",2,575.802265,1489.643009,2,913.840745,0,0,0,0,0,0,0,0,0,0,0,58.0,923.676392,flex_small,base,cluster_flex_small,450.56798,0,0,0,0,0
"ev_1250|3,50",ev_1250,"3,50",2,529.446325,1516.851146,2,987.404821,0,0,0,0,0,0,0,0,0,0,0,58.0,998.421033,flex_small,base,"cluster_flex_small,flex_small",473.060585,0,0,0,0,0
"ev_1250|3,50,9",ev_1250,"3,50,9",3,607.160195,2500.829473,3,1893.669278,0,0,0,0,0,0,0,0,0,0,0,62.0,1905.631161,flex_small,base,cluster_flex_small,962.145564,0,0,0,0,0
"ev_1250|3,165",ev_1250,"3,165",2,505.664682,505.664682,1,0.0,0,0,0,0,0,0,0,0,0,0,0,58.0,12.098287,flex_small,base,"current,flex_small,seed",,0,1,0,0,0
"ev_1250|3,165,9",ev_1250,"3,165,9",3,595.591654,1489.643009,2,894.051355,0,0,0,0,0,0,0,0,0,0,0,61.666667,906.284527,flex_small,base,cluster_flex_small,932.668718,0,0,0,0,0
