route_id,vehicle_type,vehicle_instance,stop_index,unit_id,orig_cust_id,unit_type,visit_index,required_visit_count,source_order_ids,arrival_min,arrival_hhmm,service_start_min,service_start_hhmm,service_end_min,service_end_hhmm,waiting_min,late_min,delivered_weight_kg,delivered_volume_m3,remaining_weight_after_stop_kg,remaining_volume_after_stop_m3,tw_start_min,tw_start_hhmm,tw_end_min,tw_end_hhmm,after_hours_service_flag,late_positive_flag
1,ev_1250,1,1,49,97,normal,1,1,651,350.1,13:50,350.1,13:50,370.1,14:10,0.0,0.0,17.48,0.04201,1124.5905,3.6687,342,13:42,431,15:11,0,0
1,ev_1250,1,2,48,95,normal,1,1,1999,398.1,14:38,398.1,14:38,418.1,14:58,0.0,0.0,109.35,0.29746,1015.2405,3.37124,385,14:25,454,15:34,0,0
1,ev_1250,1,3,174,75,mandatory_split,2,2,"613,900,957,1002,1034,1042,1064,1173,1223,1259,1350,1440,1626,1651,1753,1765,1771,1949,1970,2087",464.8,15:45,464.8,15:45,484.8,16:05,0.0,0.0,1015.2405,3.37124,0.0,0.0,385,14:25,465,15:45,0,0
2,ev_1250,2,1,62,10,mandatory_split,2,3,"4,14,16,57,179,191,269",748.8,20:29,748.8,20:29,768.8,20:49,0.0,0.0,1246.3786,5.46714,0.0,0.0,700,19:40,749,20:29,0,0
3,ev_1250,3,1,68,28,mandatory_split,3,3,"901,1177,1355,2012",753.5,20:34,753.5,20:34,773.5,20:54,0.0,0.0,1246.3795,3.16196,0.0,0.0,687,19:27,755,20:35,0,0
4,ev_1250,4,1,74,39,mandatory_split,1,3,"354,1632,2132",395.8,14:36,395.8,14:36,415.8,14:56,0.0,0.0,1245.3641,2.86177,0.0,0.0,368,14:08,420,15:00,0,0
5,ev_1250,5,1,78,42,mandatory_split,2,4,"746,1711",200.8,11:21,200.8,11:21,220.8,11:41,0.0,0.0,1243.2998,2.40594,0.0,0.0,134,10:14,201,11:21,0,0
6,ev_1250,6,1,86,44,mandatory_split,2,4,"779,919,1359,1513,1782",541.6,17:02,541.6,17:02,561.6,17:22,0.0,0.0,1248.3566,2.90366,0.0,0.0,541,17:01,629,18:29,0,0
7,ev_1250,7,1,87,44,mandatory_split,3,4,"383,942",541.6,17:02,541.6,17:02,561.6,17:22,0.0,0.0,1248.284,2.84909,0.0,0.0,541,17:01,629,18:29,0,0
8,ev_1250,8,1,88,44,mandatory_split,4,4,"327,674,1144",541.6,17:02,541.6,17:02,561.6,17:22,0.0,0.0,1248.217,3.17884,0.0,0.0,541,17:01,629,18:29,0,0
