route_key,vehicle_type,unit_ids,unit_count,best_cost,current_cover_cost,current_cover_route_count,current_cost_saving,single_stop_flag,big_route_flag,big_flexible_route_flag,big_flexible_unit_count,mixed_big_route_flag,piggyback_big_route_flag,promotion_like_big_route_flag,blocking_big_flexible_route_flag,blocking_big_flexible_unit_count,bad_big_flexible_route_flag,bad_big_flexible_unit_count,avg_time_window_overlap_min,candidate_score,candidate_family,pool_pass,roles,saving_vs_pass1_singletons,selected_in_baseline,selected_in_global_pass1,selected_in_global_pass2,selected_in_global_pass3,selected_in_global
ev_1250|0,ev_1250,0,1,451.165441,719.590977,1,268.425536,1,0,0,0,0,0,0,0,0,0,0,0.0,268.425536,support,base,singleton,,0,0,0,0,0
"ev_1250|0,13",ev_1250,"0,13",2,542.482855,1194.907203,2,652.424348,0,0,0,0,0,0,0,0,0,0,0,56.0,660.243964,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|0,17",ev_1250,"0,17",2,474.485574,1588.923159,2,1114.437585,0,0,0,0,0,0,0,0,0,0,0,0.0,1112.599142,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|0,63",ev_1250,"0,63",2,481.565959,1525.579695,2,1044.013736,0,0,0,0,0,0,0,0,0,0,0,0.0,1042.712205,flex_small,base,flex_small,,0,0,0,0,0
ev_1250|1,ev_1250,1,1,495.206953,519.560776,1,24.353823,1,0,0,0,0,0,0,0,0,0,0,0.0,24.353823,support,base,singleton,,0,0,0,0,0
"ev_1250|1,48",ev_1250,"1,48",2,535.662934,1421.043469,2,885.380536,0,0,0,0,0,0,0,0,0,0,0,48.0,895.221114,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|1,63",ev_1250,"1,63",2,574.705707,1325.549494,2,750.843787,0,0,0,0,0,0,0,0,0,0,0,0.0,750.279209,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|1,71",ev_1250,"1,71",2,520.775256,1436.676885,2,915.901629,0,0,0,0,0,0,0,0,0,0,0,0.0,914.500866,flex_small,base,flex_small,,0,0,0,0,0
ev_1250|3,ev_1250,3,1,462.990488,805.988718,1,342.99823,1,0,0,0,0,0,0,0,0,0,0,0.0,342.99823,support,base,singleton,,0,0,0,0,0
"ev_1250|3,50",ev_1250,"3,50",2,529.446325,1817.175182,2,1287.728858,0,0,0,0,0,0,0,0,0,0,0,58.0,1298.74507,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|3,168",ev_1250,"3,168",2,505.664682,1454.818173,2,949.153491,0,0,0,0,0,0,0,0,0,0,0,58.0,961.251777,flex_small,base,flex_small,,0,0,0,0,0
ev_1250|7,ev_1250,7,1,459.501922,648.829454,1,189.327533,1,0,0,0,0,0,0,0,0,0,0,0.0,189.327533,support,base,singleton,,0,0,0,0,0
ev_1250|8,ev_1250,8,1,459.963921,986.504189,1,526.540269,1,0,0,0,0,0,0,0,0,0,0,0.0,526.540269,support,base,singleton,,0,0,0,0,0
"ev_1250|8,14",ev_1250,"8,14",2,458.542494,1443.329406,2,984.786912,0,0,0,0,0,0,0,0,0,0,0,0.0,982.833368,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|8,19",ev_1250,"8,19",2,504.674978,986.504189,1,481.829212,0,0,0,0,0,0,0,0,0,0,0,76.0,497.746667,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|8,39",ev_1250,"8,39",2,469.980159,1783.188137,2,1313.207978,0,0,0,0,0,0,0,0,0,0,0,35.0,1319.792786,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|8,41",ev_1250,"8,41",2,463.835033,1514.100883,2,1050.26585,0,0,0,0,0,0,0,0,0,0,0,37.0,1056.211367,flex_small,base,flex_small,,0,0,0,0,0
"ev_1250|8,49",ev_1250,"8,49",2,520.746679,1506.064966,2,985.318287,0,0,0,0,0,0,0,0,0,0,0,0.0,983.830628,flex_small,base,flex_small,,0,0,0,0,0
