route_id,vehicle_type,power_type,vehicle_instance,unit_sequence,customer_sequence,unit_type_sequence,departure_min,departure_hhmm,return_min,return_hhmm,route_cost,startup_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_wait_min,total_late_min,fuel_l,electricity_kwh,route_distance_km,after_hours_travel_km,after_hours_service_count,after_hours_return_flag,late_positive_stop_count,max_late_min,load_used_kg,load_used_m3,weight_utilization,volume_utilization,green_zone_visit_count,fuel_green_zone_pre16_violation_count
1,ev_1250,ev,1,13,0->29->0,normal,466.0,15:46,679.4232587369625,19:19,747.789756,400.0,286.62706,61.162695,0.0,0.0,0.0,0.0,29.407162,38.316194,100.645103,0.0,0,0,0,0.0,873.945,2.04764,0.699156,0.240899,0,0
2,ev_1250,ev,2,51,0->6->0,mandatory_split,146.0,10:26,334.8096920433454,13:35,693.7122,400.0,242.057602,51.654598,0.0,0.0,0.0,0.0,24.851609,32.27857,81.276268,0.0,0,0,0,0.0,1217.0841,3.29954,0.973667,0.388181,1,0
3,ev_1250,ev,3,53,0->6->0,mandatory_split,146.0,10:26,334.8096920433454,13:35,694.781165,400.0,242.938563,51.842602,0.0,0.0,0.0,0.0,24.942115,32.395774,81.276268,0.0,0,0,0,0.0,1247.5591,4.21917,0.998047,0.496373,1,0
4,ev_1250,ev,4,56,0->7->0,mandatory_split,300.0,13:00,474.6420105958823,15:55,841.054602,400.0,363.511123,77.543479,0.0,0.0,0.0,0.0,37.119897,49.407747,124.405457,0.0,0,0,0,0.0,1248.8567,3.388267,0.999085,0.39862,1,0
5,ev_1250,ev,5,57,0->7->0,mandatory_split,300.0,13:00,474.6420105958823,15:55,840.944361,400.0,363.420263,77.524098,0.0,0.0,0.0,0.0,37.110631,49.395341,124.405457,0.0,0,0,0,0.0,1246.7515,2.85451,0.997401,0.335825,1,0
6,ev_1250,ev,6,58,0->7->0,mandatory_split,300.0,13:00,474.6420105958823,15:55,840.994679,400.0,363.461735,77.532944,0.0,0.0,0.0,0.0,37.114861,49.401004,124.405457,0.0,0,0,0,0.0,1247.7124,3.20012,0.99817,0.376485,1,0
7,ev_1250,ev,7,64,0->10->0,mandatory_split,647.0,18:47,795.1079507418035,21:15,748.808195,400.0,287.48116,61.327035,0.0,0.0,0.0,0.0,29.370771,39.005851,98.277298,13.924494,0,1,0,0.0,1246.3786,5.46714,0.997103,0.643193,1,0
8,ev_1250,ev,8,70,0->28->0,mandatory_split,630.0,18:30,804.615348815918,21:25,834.721152,400.0,358.29053,76.430622,0.0,0.0,0.0,0.0,36.592266,48.672795,122.603813,22.687148,0,1,0,0.0,1246.3795,3.16196,0.997104,0.371995,0,0
9,ev_1250,ev,9,76,0->39->0,mandatory_split,300.0,13:00,645.9850791404024,18:46,1095.092643,400.0,572.870072,122.222572,0.0,0.0,0.0,0.0,58.630461,77.25138,194.169357,0.0,0,0,0,0.0,1245.3641,2.86177,0.996291,0.336679,0,0
10,ev_1250,ev,10,80,0->42->0,mandatory_split,103.0,09:43,353.6185399275273,13:54,850.371742,400.0,371.173396,79.198346,0.0,0.0,0.0,0.0,38.043315,49.794983,125.136368,0.0,0,0,0,0.0,1243.2998,2.40594,0.99464,0.283052,0,0
11,ev_1250,ev,11,88,0->44->0,mandatory_split,462.0,15:42,668.2724740158301,19:08,735.446739,400.0,276.453862,58.992877,0.0,0.0,0.0,0.0,28.370462,36.923563,92.727798,0.0,0,0,0,0.0,1248.3566,2.90366,0.998685,0.341607,0,0
12,ev_1250,ev,12,110,0->52->0,mandatory_split,382.0,14:22,705.3550293128937,19:45,1039.325179,400.0,526.904724,112.420455,0.0,0.0,0.0,0.0,53.958318,70.903614,178.175552,0.0,0,0,0,0.0,1247.9146,2.84981,0.998332,0.335272,0,0
13,ev_1250,ev,13,144,0->61->0,mandatory_split,127.0,10:07,357.98588897893205,13:58,811.418265,400.0,339.066529,72.351736,0.0,0.0,0.0,0.0,34.781094,45.355125,113.846992,0.0,0,0,0,0.0,1249.7546,3.981786,0.999804,0.468445,0,0
14,ev_1250,ev,14,171,0->73->0,mandatory_split,289.0,12:49,507.2263198767323,16:27,917.234953,400.0,426.293374,90.941579,0.0,0.0,0.0,0.0,43.56907,57.763873,145.426865,0.0,0,0,0,0.0,1248.095,2.62153,0.998476,0.308415,0,0
