route_key,vehicle_type,unit_ids,unit_count,best_cost,current_cover_cost,current_cover_route_count,current_cost_saving,single_stop_flag,big_route_flag,big_flexible_route_flag,big_flexible_unit_count,mixed_big_route_flag,piggyback_big_route_flag,promotion_like_big_route_flag,blocking_big_flexible_route_flag,blocking_big_flexible_unit_count,bad_big_flexible_route_flag,bad_big_flexible_unit_count,avg_time_window_overlap_min,candidate_score,candidate_family,pool_pass,roles,saving_vs_pass1_singletons,selected_in_baseline,selected_in_global_pass1,selected_in_global_pass2,selected_in_global_pass3,selected_in_global,selected_in_cost_best,selected_in_balanced_best,coupled_candidate_score,archive_support_count,pheromone_support_score,selected_in_final,selected_in_pass1,selected_in_pass2,selected_in_pass3
ev_1250|0,ev_1250,0,1,451.165441,719.590977,1,268.425536,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,256.425536,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,261.970714,0.0,1.0,0,,,
"ev_1250|0,13",ev_1250,"0,13",2,542.482855,1194.907203,2,902.624627,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,56.0,886.444243,flex_small,base,flex_small,,0.0,0.0,0.0,0.0,0.0,0,0,931.989421,2.0,1.0,0,,,
"ev_1250|0,17",ev_1250,"0,17",2,474.485574,1340.696592,2,866.211018,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,840.372575,flex_small,base,flex_small,,0.0,0.0,0.0,0.0,0.0,0,0,845.917753,0.0,1.0,0,,,
"ev_1250|0,63",ev_1250,"0,63",2,481.565959,1778.850617,2,1297.284658,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1271.983127,flex_small,base,flex_small,,0.0,0.0,0.0,0.0,0.0,0,0,1095.191753,0.0,1.0,0,,,
ev_1250|1,ev_1250,1,1,495.206953,540.708065,1,45.501112,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,45.501112,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,51.046289,0.0,1.0,0,,,
"ev_1250|1,48",ev_1250,"1,48",2,535.662934,1406.791858,2,1141.266353,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,48.0,1139.106931,flex_small,base,flex_small,,0.0,0.0,0.0,0.0,0.0,0,0,1144.652109,0.0,1.0,0,,,
"ev_1250|1,63",ev_1250,"1,63",2,574.705707,1599.967705,2,1025.261998,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1012.697419,flex_small,base,flex_small,,0.0,0.0,0.0,0.0,0.0,0,0,835.906045,0.0,1.0,0,,,
"ev_1250|1,71",ev_1250,"1,71",2,520.775256,1302.334821,2,926.990468,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,913.589705,flex_small,base,flex_small,,0.0,0.0,0.0,0.0,0.0,0,0,919.134882,0.0,1.0,0,,,
ev_1250|107,ev_1250,107,1,462.52701,625.419278,1,162.892268,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,150.892268,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,155.69482,0.0,0.8227,0,,,
ev_1250|108,ev_1250,108,1,460.719986,874.851359,1,414.131372,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,402.131372,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,407.67655,0.0,1.0,0,,,
ev_1250|109,ev_1250,109,1,462.505256,625.343348,1,162.838092,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,150.838092,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,155.640644,0.0,0.8227,0,,,
ev_1250|110,ev_1250,110,1,539.37169,539.37169,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,-12.0,seed_current,base,"current,seed,singleton",,0.0,1.0,1.0,0.0,1.0,1,1,72.802552,4.0,0.8227,1,,,
ev_1250|12,ev_1250,12,1,505.773685,910.803981,1,405.030296,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,393.030296,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,397.832848,0.0,0.8227,0,,,
"ev_1250|12,44",ev_1250,"12,44",2,496.877807,1776.887774,2,1550.147395,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,32.0,1533.589073,flex_small,base,flex_small,,0.0,0.0,0.0,0.0,0.0,0,0,1539.134251,0.0,1.0,0,,,
"ev_1250|12,9",ev_1250,"12,9",2,563.297932,1785.65534,2,1222.357407,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1195.686376,flex_small,base,flex_small,,0.0,0.0,0.0,0.0,0.0,0,0,1201.231553,0.0,1.0,0,,,
ev_1250|13,ev_1250,13,1,475.316226,475.316226,1,250.200279,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,238.200279,seed_current,base,"current,seed,singleton",,0.0,1.0,1.0,0.0,1.0,1,0,322.821374,4.0,0.781823,1,,,
ev_1250|131,ev_1250,131,1,446.944029,566.286834,1,119.342805,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,107.342805,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,112.145357,0.0,0.8227,0,,,
ev_1250|133,ev_1250,133,1,446.94184,566.279467,1,119.337627,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,107.337627,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,112.140179,0.0,0.8227,0,,,
ev_1250|134,ev_1250,134,1,446.933013,566.249755,1,119.316742,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,107.316742,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,112.119293,0.0,0.8227,0,,,
ev_1250|14,ev_1250,14,1,423.236033,833.316017,1,410.079984,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,398.079984,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,403.625161,0.0,1.0,0,,,
"ev_1250|14,7",ev_1250,"14,7",2,460.092791,1374.024082,2,913.931291,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,52.0,912.931584,flex_small,base,flex_small,,0.0,0.0,0.0,0.0,0.0,0,0,918.476762,0.0,1.0,0,,,
ev_1250|143,ev_1250,143,1,489.134888,788.48279,1,299.347902,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,287.347902,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,292.89308,0.0,1.0,0,,,
ev_1250|144,ev_1250,144,1,489.152301,489.152301,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,-12.0,seed_current,base,"current,seed,singleton",,0.0,1.0,1.0,0.0,1.0,1,1,72.802552,4.0,0.8227,1,,,
ev_1250|15,ev_1250,15,1,527.532439,866.083793,1,608.688783,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,596.688783,support,base,singleton,,0.0,0.0,0.0,0.0,0.0,0,0,602.23396,0.0,1.0,0,,,
"ev_1250|15,170",ev_1250,"15,170",2,627.245367,1379.233425,2,1022.125487,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,55.0,1003.304365,flex_small,base,cluster_flex_small,395.430451,0.0,0.0,0.0,0.0,0.0,0,0,1008.849543,0.0,1.0,0,,,
"ev_1250|15,44",ev_1250,"15,44",2,550.059673,866.083793,1,586.161549,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,561.148917,flex_small,base,flex_small,,0.0,0.0,0.0,0.0,0.0,0,0,566.694095,0.0,1.0,0,,,
