route_key,vehicle_type,unit_ids,unit_count,best_cost,current_cover_cost,current_cover_route_count,current_cost_saving,single_stop_flag,big_route_flag,mixed_big_route_flag,piggyback_big_route_flag,promotion_like_big_route_flag,blocking_big_flexible_route_flag,blocking_big_flexible_unit_count,avg_time_window_overlap_min,candidate_score,coupled_candidate_score,archive_support_count,pheromone_support_score,candidate_family,pool_pass,roles,selected_in_pass1,selected_in_pass2,selected_in_pass3,selected_in_final,selected_in_cost_best,selected_in_balanced_best
ev_1250|0,ev_1250,0,1,451.165441,719.590977,1,268.425536,1,0,0,0,0,0,0,0.0,256.425536,261.970714,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|0,13",ev_1250,"0,13",2,542.482855,1919.144465,2,1376.66161,0,0,0,0,0,0,0,56.0,1360.481226,1366.026404,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|0,17",ev_1250,"0,17",2,474.485574,1340.696592,2,866.211018,0,0,0,0,0,0,0,0.0,840.372575,845.917753,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|0,63",ev_1250,"0,63",2,481.565959,1525.579695,2,1297.284658,0,0,0,0,0,0,0,0.0,1271.983127,1277.528305,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|1,ev_1250,1,1,495.206953,540.708065,1,45.501112,1,0,0,0,0,0,0,0.0,45.501112,51.046289,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|1,48",ev_1250,"1,48",2,535.662934,1406.791858,2,871.128924,0,0,0,0,0,0,0,48.0,868.969503,874.51468,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,63",ev_1250,"1,63",2,574.705707,1346.696783,2,1025.261998,0,0,0,0,0,0,0,0.0,1012.697419,1018.242596,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,71",ev_1250,"1,71",2,520.775256,1348.236883,2,827.461627,0,0,0,0,0,0,0,0.0,814.060864,819.606041,1,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|107,ev_1250,107,1,462.52701,625.419278,1,162.892268,1,0,0,0,0,0,0,0.0,150.892268,155.234854,0,0.720858,support,base,singleton,0,0,0,0,0,0
ev_1250|108,ev_1250,108,1,460.719986,814.450627,1,414.131372,1,0,0,0,0,0,0,0.0,402.131372,407.67655,0,1.0,support,base,singleton,0,0,0,0,0,0
ev_1250|109,ev_1250,109,1,462.505256,625.343348,1,162.838092,1,0,0,0,0,0,0,0.0,150.838092,155.180678,0,0.720858,support,base,singleton,0,0,0,0,0,0
ev_1250|110,ev_1250,110,1,539.37169,539.37169,1,0.0,1,0,0,0,0,0,0,0.0,-12.0,72.342586,4,0.720858,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|12,ev_1250,12,1,505.773685,910.803981,1,405.030296,1,0,0,0,0,0,0,0.0,393.030296,397.372882,0,0.720858,support,base,singleton,0,0,0,0,0,0
"ev_1250|12,44",ev_1250,"12,44",2,496.877807,1776.887774,2,1280.009967,0,0,0,0,0,0,0,32.0,1263.451645,1268.996822,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|12,9",ev_1250,"12,9",2,563.297932,2053.454812,2,1490.15688,0,0,0,0,0,0,0,0.0,1463.485849,1469.031026,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|13,ev_1250,13,1,475.316226,1199.553488,1,724.237262,1,0,0,0,0,0,0,0.0,712.237262,715.804442,0,0.720858,support,base,singleton,0,0,0,0,0,0
ev_1250|131,ev_1250,131,1,446.944029,566.286834,1,119.342805,1,0,0,0,0,0,0,0.0,107.342805,111.685391,0,0.720858,support,base,singleton,0,0,0,0,0,0
ev_1250|133,ev_1250,133,1,446.94184,566.279467,1,119.337627,1,0,0,0,0,0,0,0.0,107.337627,111.680213,0,0.720858,support,base,singleton,0,0,0,0,0,0
ev_1250|134,ev_1250,134,1,446.933013,566.249755,1,119.316742,1,0,0,0,0,0,0,0.0,107.316742,111.659328,0,0.720858,support,base,singleton,0,0,0,0,0,0
ev_1250|14,ev_1250,14,1,423.236033,833.316017,1,410.079984,1,0,0,0,0,0,0,0.0,398.079984,403.625161,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|14,7",ev_1250,"14,7",2,460.092791,1374.024082,2,913.931291,0,0,0,0,0,0,0,52.0,912.931584,918.476762,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|143,ev_1250,143,1,489.134888,788.48279,1,299.347902,1,0,0,0,0,0,0,0.0,287.347902,292.89308,0,1.0,support,base,singleton,0,0,0,0,0,0
ev_1250|144,ev_1250,144,1,489.152301,489.152301,1,0.0,1,0,0,0,0,0,0,0.0,-12.0,72.342586,4,0.720858,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|15,ev_1250,15,1,527.532439,866.083793,1,338.551354,1,0,0,0,0,0,0,0.0,326.551354,332.096532,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|15,170",ev_1250,"15,170",2,627.245367,1379.233425,2,751.988059,0,0,0,0,0,0,0,55.0,733.166937,738.712114,0,1.0,flex_small,base,cluster_flex_small,0,0,0,0,0,0
"ev_1250|15,44",ev_1250,"15,44",2,550.059673,866.083793,1,316.02412,0,0,0,0,0,0,0,0.0,291.011489,296.556666,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|15,46",ev_1250,"15,46",2,532.395272,866.083793,1,333.688522,0,0,0,0,0,0,0,66.0,325.016441,330.561619,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|157,ev_1250,157,1,468.025075,644.866329,1,176.841254,1,0,0,0,0,0,0,0.0,164.841254,169.18384,0,0.720858,support,base,singleton,0,0,0,0,0,0
ev_1250|159,ev_1250,159,1,468.018465,644.843545,1,176.82508,1,0,0,0,0,0,0,0.0,164.82508,169.167666,0,0.720858,support,base,singleton,0,0,0,0,0,0
