orig_cust_id,route_ids,route_visit_count,unit_ids,unit_count,unit_type,required_visit_count,served_weight_kg,served_volume_m3,served_vehicle_types,first_service_start_min,in_green_zone,must_use_ev_under_policy,fuel_allowed_after_16,served_by_ev,served_by_fuel
2,31,1,0,1,normal,1,14.89,0.04317,fuel_1500,637.0,True,False,True,0,1
3,18,1,1,1,normal,1,235.0181,0.70348,ev_3000,393.0,True,True,False,1,0
4,26,1,2,1,normal,1,1443.5621,3.490997,fuel_1500,720.0,True,False,True,0,1
5,13,1,3,1,normal,1,731.6005,2.31239,ev_1250,845.0,True,False,True,1,0
6,"3,4,18",3,"51,52,53",3,mandatory_split,3,4473.6432,11.9832,"ev_1250,ev_3000",227.6,True,True,False,1,0
7,"5,6,7,19,20",5,"54,55,56,57,58",5,mandatory_split,5,7463.2328,18.477137,"ev_1250,ev_3000",283.8,True,True,False,1,0
8,"21,22,23,24",4,"59,60,61,62",4,mandatory_split,4,11807.770223,36.02702,ev_3000,210.0,True,True,False,1,0
9,16,1,4,1,normal,1,2577.339131,6.65072,ev_3000,168.2,True,True,False,1,0
10,"32,91,92",3,"63,64,65",3,mandatory_split,3,3759.985,14.55749,"fuel_1500,fuel_3000",700.3,True,False,True,0,1
11,17,1,5,1,normal,1,1325.5301,4.36316,ev_3000,209.4,True,True,False,1,0
12,20,1,6,1,normal,1,1726.8416,4.521751,ev_3000,415.0,True,True,False,1,0
13,18,1,7,1,normal,1,540.0868,1.27918,ev_3000,321.9,True,True,False,1,0
16,80,1,8,1,normal,1,85.2,0.1931,fuel_3000,152.0,False,False,False,0,1
19,13,1,9,1,normal,1,9.3722,0.07403,ev_1250,729.5,False,False,False,1,0
24,27,1,10,1,normal,1,1262.1673,2.95599,fuel_1500,539.8,False,False,False,0,1
25,75,1,11,1,normal,1,2528.1351,5.33839,fuel_3000,540.7,False,False,False,0,1
26,28,1,12,1,normal,1,45.8132,0.1362,fuel_1500,516.3,False,False,False,0,1
27,"88,93",2,"66,67",2,mandatory_split,2,3233.6041,7.63971,fuel_3000,593.8,False,False,False,0,1
28,"8,33,40",3,"68,69,70",3,mandatory_split,3,3257.3115,7.9603,"ev_1250,fuel_1500",687.0,False,False,False,1,1
