route_key,vehicle_type,unit_ids,unit_count,best_cost,current_cover_cost,current_cover_route_count,current_cost_saving,single_stop_flag,big_route_flag,mixed_big_route_flag,piggyback_big_route_flag,promotion_like_big_route_flag,blocking_big_flexible_route_flag,blocking_big_flexible_unit_count,avg_time_window_overlap_min,candidate_score,coupled_candidate_score,archive_support_count,pheromone_support_score,candidate_family,pool_pass,roles,selected_in_pass1,selected_in_pass2,selected_in_pass3,selected_in_final,selected_in_cost_best,selected_in_balanced_best
ev_1250|0,ev_1250,0,1,451.165441,690.919458,1,268.425536,1,0,0,0,0,0,0,0.0,256.425536,260.846149,0,1.038781,support,base,singleton,0,0,0,0,0,0
"ev_1250|0,13",ev_1250,"0,13",2,542.482855,1776.396971,2,1233.914116,0,0,0,0,0,0,0,56.0,1217.733732,1243.356099,1,1.019391,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|0,17",ev_1250,"0,17",2,474.485574,1312.025073,2,866.211018,0,0,0,0,0,0,0,0.0,840.372575,845.917753,0,1.019391,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|0,63",ev_1250,"0,63",2,481.565959,1662.345018,2,1180.779058,0,0,0,0,0,0,0,0.0,1155.477528,1161.099894,0,1.019391,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|1,ev_1250,1,1,495.206953,540.708065,1,45.501112,1,0,0,0,0,0,0,0.0,45.501112,51.046289,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|1,48",ev_1250,"1,48",2,535.662934,1093.522544,2,557.85961,0,0,0,0,0,0,0,48.0,555.700189,561.245366,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,63",ev_1250,"1,63",2,574.705707,1512.133624,2,937.427917,0,0,0,0,0,0,0,0.0,924.863338,930.408516,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,71",ev_1250,"1,71",2,520.775256,1348.236883,2,827.461627,0,0,0,0,0,0,0,0.0,814.060864,819.606041,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|107,ev_1250,107,1,462.52701,621.199769,1,158.672758,1,0,0,0,0,0,0,0.0,146.672758,151.682365,0,0.870491,support,base,singleton,0,0,0,0,0,0
ev_1250|108,ev_1250,108,1,460.719986,992.021054,1,531.301068,1,0,0,0,0,0,0,0.0,519.301068,524.846245,0,1.0,support,base,singleton,0,0,0,0,0,0
ev_1250|109,ev_1250,109,1,462.505256,625.343348,1,162.838092,1,0,0,0,0,0,0,0.0,150.838092,156.011869,0,0.909272,support,base,singleton,0,0,0,0,0,0
ev_1250|110,ev_1250,110,1,539.37169,539.37169,1,0.0,1,0,0,0,0,0,0,0.0,-12.0,73.173776,4,0.909272,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|12,ev_1250,12,1,505.773685,910.577378,1,405.030296,1,0,0,0,0,0,0,0.0,393.030296,397.8133,0,0.870491,support,base,singleton,0,0,0,0,0,0
"ev_1250|12,44",ev_1250,"12,44",2,496.877807,1737.457733,2,1240.579925,0,0,0,0,0,0,0,32.0,1224.021603,1229.566781,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|12,9",ev_1250,"12,9",2,563.297932,1882.002938,2,1318.705005,0,0,0,0,0,0,0,0.0,1292.033974,1297.579152,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|13,ev_1250,13,1,475.316226,1085.477513,1,610.161287,1,0,0,0,0,0,0,0.0,598.161287,643.123381,2,0.859415,support,base,singleton,0,0,0,0,0,0
ev_1250|131,ev_1250,131,1,446.944029,566.286834,1,119.342805,1,0,0,0,0,0,0,0.0,107.342805,112.516581,0,0.909272,support,base,singleton,0,0,0,0,0,0
ev_1250|133,ev_1250,133,1,446.94184,566.279467,1,119.337627,1,0,0,0,0,0,0,0.0,107.337627,112.511403,0,0.909272,support,base,singleton,0,0,0,0,0,0
ev_1250|134,ev_1250,134,1,446.933013,566.249755,1,119.316742,1,0,0,0,0,0,0,0.0,107.316742,112.490518,0,0.909272,support,base,singleton,0,0,0,0,0,0
ev_1250|14,ev_1250,14,1,423.236033,456.825216,1,33.589183,1,0,0,0,0,0,0,0.0,21.589183,27.134361,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|14,40,1",ev_1250,"14,40,1",3,572.608958,2059.681994,3,1487.073036,0,0,0,0,0,0,0,23.333333,1464.501017,1470.046194,0,1.0,flex_small,base,cluster_flex_small,0,0,0,0,0,0
"ev_1250|14,7",ev_1250,"14,7",2,460.092791,997.533281,2,537.44049,0,0,0,0,0,0,0,52.0,536.440784,541.985961,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|14,7,40",ev_1250,"14,7,40",3,621.290113,2059.681994,3,1438.391881,0,0,0,0,0,0,0,51.333333,1423.172092,1428.71727,0,1.0,flex_small,base,cluster_flex_small,0,0,0,0,0,0
"ev_1250|14,96,1",ev_1250,"14,96,1",3,614.799919,1778.990767,3,1164.190847,0,0,0,0,0,0,0,13.0,1138.974895,1144.520073,0,1.0,flex_small,base,cluster_flex_small,0,0,0,0,0,0
ev_1250|143,ev_1250,143,1,489.134888,817.057819,1,327.922932,1,0,0,0,0,0,0,0.0,315.922932,321.468109,0,1.0,support,base,singleton,0,0,0,0,0,0
ev_1250|144,ev_1250,144,1,489.152301,805.286845,1,316.134543,1,0,0,0,0,0,0,0.0,304.134543,309.833361,0,1.038781,support,base,singleton,0,0,0,0,0,0
ev_1250|15,ev_1250,15,1,527.532439,817.057819,1,289.52538,1,0,0,0,0,0,0,0.0,277.52538,283.070558,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|15,170",ev_1250,"15,170",2,627.245367,1330.207451,2,702.962085,0,0,0,0,0,0,0,55.0,684.140963,689.68614,0,1.0,flex_small,base,cluster_flex_small,0,0,0,0,0,0
"ev_1250|15,44",ev_1250,"15,44",2,550.059673,1643.938174,2,1093.878501,0,0,0,0,0,0,0,0.0,1068.86587,1074.411047,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|15,46",ev_1250,"15,46",2,532.395272,1622.344664,2,1089.949392,0,0,0,0,0,0,0,66.0,1081.277312,1086.822489,0,1.0,flex_small,base,"cluster_flex_small,flex_small",0,0,0,0,0,0
"ev_1250|15,46,170",ev_1250,"15,46,170",3,602.301226,2135.494296,3,1533.19307,0,0,0,0,0,0,0,57.666667,1506.753461,1512.298638,0,1.0,flex_small,base,cluster_flex_small,0,0,0,0,0,0
ev_1250|157,ev_1250,157,1,468.025075,644.866329,1,176.841254,1,0,0,0,0,0,0,0.0,164.841254,170.01503,0,0.909272,support,base,singleton,0,0,0,0,0,0
ev_1250|159,ev_1250,159,1,468.018465,644.843545,1,176.82508,1,0,0,0,0,0,0,0.0,164.82508,169.998857,0,0.909272,support,base,singleton,0,0,0,0,0,0
ev_1250|16,ev_1250,16,1,482.566413,762.620389,1,280.053976,1,0,0,0,0,0,0,0.0,268.053976,273.599153,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|16,14",ev_1250,"16,14",2,495.930784,1219.445605,2,723.514821,0,0,0,0,0,0,0,39.0,705.303312,710.84849,0,1.0,flex_small,base,cluster_flex_small,0,0,0,0,0,0
"ev_1250|16,40",ev_1250,"16,40",2,526.822401,1824.769101,2,1297.9467,0,0,0,0,0,0,0,53.0,1284.630797,1290.175975,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|16,96",ev_1250,"16,96",2,556.584275,1544.077874,2,987.493599,0,0,0,0,0,0,0,59.0,975.200856,980.746033,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|167,ev_1250,167,1,516.621638,516.621638,1,0.0,1,0,0,0,0,0,0,0.0,-12.0,72.581138,4,1.049857,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|168,ev_1250,168,1,505.534971,505.664682,1,162.255354,1,0,0,0,0,0,0,0.0,150.255354,175.0557,1,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|168,50",ev_1250,"168,50",2,551.805659,1516.851146,2,965.045487,0,0,0,0,0,0,0,82.0,957.990979,963.536157,1,1.0,flex_small,base,"cluster_flex_small,flex_small",0,0,0,0,0,0
"ev_1250|168,9",ev_1250,"168,9",2,556.253971,1477.090241,2,920.83627,0,0,0,0,0,0,0,69.0,911.601851,917.16915,1,1.005538,flex_small,base,"cluster_flex_small,flex_small",0,0,0,0,0,0
"ev_1250|168,9,50",ev_1250,"168,9,50",3,583.169454,2488.276705,3,1905.107251,0,0,0,0,0,0,0,73.666667,1884.688872,1890.248804,1,1.003692,flex_small,base,"cluster_flex_small,flex_small",0,0,0,0,0,0
"ev_1250|168,9,50,3",ev_1250,"168,9,50,3",4,667.790325,2488.276705,3,1820.48638,0,0,0,0,0,0,0,65.833333,1785.768881,1791.325127,2,1.002769,flex_small,base,cluster_flex_small,0,1,0,1,1,1
ev_1250|17,ev_1250,17,1,468.513858,621.105615,1,152.591757,1,0,0,0,0,0,0,0.0,140.591757,146.136934,0,1.0,support,base,singleton,0,0,0,0,0,0
ev_1250|170,ev_1250,170,1,503.502006,513.149632,1,328.701974,1,0,0,0,0,0,0,0.0,316.701974,322.247152,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|170,1,49",ev_1250,"170,1,49",3,531.11516,1606.672176,3,1075.557016,0,0,0,0,0,0,0,24.333333,1055.050014,1060.595191,0,1.0,flex_small,base,cluster_flex_small,0,0,0,0,0,0
"ev_1250|170,168",ev_1250,"170,168",2,607.151524,1018.814314,2,892.842782,0,0,0,0,0,0,0,0.0,868.280594,893.825771,1,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|170,43",ev_1250,"170,43",2,516.011442,1386.813019,2,1189.855926,0,0,0,0,0,0,0,27.0,1170.760425,1176.305603,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|170,49",ev_1250,"170,49",2,520.740534,1065.964111,2,545.223577,0,0,0,0,0,0,0,35.0,526.502864,532.048041,0,1.0,flex_small,base,cluster_flex_small,0,0,0,0,0,0
ev_1250|171,ev_1250,171,1,513.543556,513.543556,1,0.0,1,0,0,0,0,0,0,0.0,-12.0,73.173776,4,0.909272,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|172,ev_1250,172,1,513.540153,513.540153,1,0.0,1,0,0,0,0,0,0,0.0,-12.0,73.173776,4,0.909272,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|177,ev_1250,177,1,503.836457,552.814479,1,48.978023,1,0,0,0,0,0,0,0.0,36.978023,42.5232,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|177,48",ev_1250,"177,48",2,551.346865,552.814479,1,1.467615,0,0,0,0,0,0,0,69.0,-8.380869,37.164308,2,1.019391,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|19,ev_1250,19,1,487.537605,486.06046,1,-1.477145,1,0,0,0,0,0,0,0.0,-13.477145,31.696631,2,0.909272,support,base,singleton,0,0,0,0,0,0
