feature_type,left_unit_id,right_unit_id,vehicle_family,tau
edge,9,50.0,small,0.6768179477573449
edge,50,3.0,small,0.6768179477573449
edge,78,118.0,big,0.6768179477573449
edge,113,42.0,small,0.6768179477573449
start,168,,small,0.6768179477573449
edge,63,105.0,big,0.6506515030811336
edge,111,122.0,big,0.6506515030811336
start,63,,big,0.6506515030811336
start,111,,big,0.6506515030811336
start,113,,small,0.6506515030811336
start,167,,small,0.6506515030811336
edge,15,143.0,big,0.645737024844613
edge,29,18.0,big,0.645737024844613
edge,36,176.0,big,0.645737024844613
edge,45,107.0,big,0.645737024844613
edge,48,177.0,small,0.645737024844613
edge,49,48.0,small,0.645737024844613
edge,65,169.0,big,0.645737024844613
edge,75,37.0,big,0.645737024844613
edge,95,15.0,big,0.645737024844613
edge,108,30.0,big,0.645737024844613
edge,114,127.0,big,0.645737024844613
start,29,,big,0.645737024844613
start,45,,big,0.645737024844613
start,49,,small,0.645737024844613
start,68,,small,0.645737024844613
start,95,,big,0.645737024844613
start,114,,big,0.645737024844613
start,173,,small,0.645737024844613
edge,0,64.0,small,0.6047674468381642
edge,13,66.0,big,0.6047674468381642
edge,34,44.0,small,0.6047674468381642
edge,82,112.0,big,0.6047674468381642
edge,97,77.0,big,0.6047674468381642
edge,144,46.0,small,0.6047674468381642
start,0,,small,0.6047674468381642
start,13,,big,0.6047674468381642
start,82,,big,0.6047674468381642
start,121,,small,0.6047674468381642
start,144,,small,0.6047674468381642
edge,168,9.0,small,0.6034314884938655
edge,4,14.0,big,0.5882730991991822
edge,5,35.0,big,0.5882730991991822
edge,7,1.0,big,0.5882730991991822
edge,19,39.0,small,0.5882730991991822
edge,25,8.0,big,0.5882730991991822
edge,38,32.0,big,0.5882730991991822
edge,40,165.0,big,0.5882730991991822
edge,47,130.0,big,0.5882730991991822
edge,52,7.0,big,0.5882730991991822
edge,55,6.0,big,0.5882730991991822
edge,71,31.0,big,0.5882730991991822
edge,79,16.0,big,0.5882730991991822
edge,87,69.0,small,0.5882730991991822
edge,96,145.0,big,0.5882730991991822
edge,116,17.0,big,0.5882730991991822
