unit_id,business_customer_id,service_node_id,baseline_customer_id,unit_type,visit_index,required_visit_count,weight_kg,volume_m3,tw_start_min,tw_start_hhmm,tw_end_min,tw_end_hhmm,eligible_vehicle_types,source_order_ids,in_green_zone,must_use_ev_under_policy,fuel_allowed_after_16,latest_event_id
0,2,2,2,normal,1,1,14.89,0.04317,593,17:53,649,18:49,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250",189,1,0,1,
1,3,3,3,normal,1,1,235.0181,0.70348,393,14:33,441,15:21,"ev_3000,ev_1250","1,116,165,212,265",1,1,0,
2,4,4,4,normal,1,1,1443.5621,3.490997,689,19:29,757,20:37,"fuel_3000,fuel_1500,ev_3000","11,17,61,70,136,148,187,216,221,243,271,282",1,0,1,
3,5,5,5,normal,1,1,731.6005,2.31239,688,19:28,746,20:26,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","9,29,43,46,52,81,88,89,96,103,112,126,128,152,157,166,177,238,254,267,279,292,293",1,0,1,
4,9,9,9,normal,1,1,2577.339131,6.65072,126,10:06,212,11:32,ev_3000,"2,45,54,59,64,71,86,100,101,129,131,155,159,161,162,163,181,183,184,186,190,192,194,200,201,211,219,231,237,248,253,260,264,281,289,294,297",1,1,0,
5,11,11,11,normal,1,1,1325.5301,4.36316,209,11:29,290,12:50,ev_3000,"18,49,63,84,144,145,153,188,209,210,218,222,234,244,245,246,256,258,273,298",1,1,0,
6,12,12,12,normal,1,1,1726.8416,4.521751,415,14:55,470,15:50,ev_3000,"33,99,105,115,154,195,223,229,274,276,277,284,288,300",1,1,0,
7,13,13,13,normal,1,1,540.0868,1.27918,250,12:10,306,13:06,"ev_3000,ev_1250","28,36,72,92,180,270,278",1,1,0,
8,16,16,16,normal,1,1,85.2,0.1931,77,09:17,161,10:41,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","518,760,1401",0,0,0,
10,24,24,24,normal,1,1,1262.1673,2.95599,531,16:51,616,18:16,"fuel_3000,fuel_1500,ev_3000","385,617,1384,1509,2024",0,0,0,
11,25,25,25,normal,1,1,2528.1351,5.33839,499,16:19,569,17:29,"fuel_3000,ev_3000","1548,1778,2017,2074,2135",0,0,0,
12,26,26,26,normal,1,1,45.8132,0.1362,470,15:50,552,17:12,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","452,1453,1454",0,0,0,
13,29,29,29,normal,1,1,873.945,2.04764,578,17:38,663,19:03,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","334,1011,1139",0,0,0,
14,30,30,30,normal,1,1,334.852,0.73178,212,11:32,302,13:02,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","1382,1439,1850,1961",0,0,0,
15,32,32,32,normal,1,1,442.3342,1.12524,308,13:08,384,14:24,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","679,855,873,1189,1462,1517,1524,1966,2028,2046,2163",0,0,0,
16,33,33,33,normal,1,1,527.2666,1.37982,166,10:46,251,12:11,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","930,1311,1365,1669,1717,1774,1823,2055,2127",0,0,0,
17,34,34,34,normal,1,1,364.0498,1.5211,655,18:55,728,20:08,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","960,1229,1253,1363,1427,1443,1466,1614,1969,2080",0,0,0,
18,35,35,35,normal,1,1,1692.5786,3.88436,89,09:29,172,10:52,"fuel_3000,ev_3000","397,449,475,771,857,946,1195,1242,1264,1333,1633,1661,1687,1785",0,0,0,
19,37,37,37,normal,1,1,564.949,1.8194,85,09:25,163,10:43,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","443,582,923,1063,1254,1260,1292,1307,1357,1496,1531,1657,1871",0,0,0,
20,38,38,38,normal,1,1,1261.7326,4.06727,148,10:28,214,11:34,"fuel_3000,fuel_1500,ev_3000","398,427,506,530,925,949,1039,1143,1204,1232,1268,1293,1387,1497,1653,1697,1797,1876,1894,1962,2082",0,0,0,
21,40,40,40,normal,1,1,2691.1358,7.9507,592,17:52,664,19:04,"fuel_3000,ev_3000","314,663,763,906,997,1005,1140,1473,1537,1562,1637,1654,1685,1757,1836,1897,2006",0,0,0,
22,41,41,41,normal,1,1,2786.4185,7.943983,278,12:38,351,13:51,"fuel_3000,ev_3000","316,405,473,544,589,591,593,683,686,830,843,952,968,984,994,1008,1029,1233,1238,1286,1297,1346,1362,1656,1679,1715,1719,1730,1804,1805,1964,1984,2075,2138,2159",0,0,0,
23,47,47,47,normal,1,1,2803.414845,8.09606,655,18:55,715,19:55,"fuel_3000,ev_3000","339,363,393,445,453,492,501,503,567,574,638,736,775,879,881,907,953,967,1048,1081,1094,1301,1358,1400,1414,1542,1622,1625,1630,1635,1649,1652,1716,1752,1917,2023,2033,2126",0,0,0,
24,58,58,58,normal,1,1,2933.964,9.833463,378,14:18,443,15:23,"fuel_3000,ev_3000","382,407,436,441,495,499,514,549,620,672,780,812,849,872,896,905,983,991,1076,1089,1096,1255,1261,1276,1308,1309,1319,1344,1380,1450,1528,1560,1581,1768,1780,1859,1890,1955,1985,1986,2037,2040,2102,2105",0,0,0,
25,66,66,66,normal,1,1,2825.778817,8.6796,70,09:10,153,10:33,"fuel_3000,ev_3000","324,370,507,529,618,732,765,808,854,862,875,1023,1056,1088,1133,1249,1275,1388,1441,1455,1490,1512,1523,1574,1663,1683,1696,1758,1769,1798,1803,1846,2068,2069,2073,2140,2149,2158",0,0,0,
26,67,67,67,normal,1,1,2885.641443,8.92494,652,18:52,736,20:16,"fuel_3000,ev_3000","330,352,356,490,564,741,769,802,826,852,859,861,995,1004,1009,1120,1155,1162,1174,1202,1231,1247,1314,1327,1341,1373,1429,1502,1519,1534,1572,1592,1640,1647,1682,1689,1739,1742,1744,1755,1915,1935,1943,1978,1992,2025,2066,2094,2111,2157",0,0,0,
27,69,69,69,normal,1,1,2288.8859,6.06402,466,15:46,549,17:09,"fuel_3000,ev_3000","306,322,430,685,801,827,836,877,884,944,980,1010,1015,1288,1315,1433,1448,1480,1518,1584,1620,1672,1678,1709,1794,1819,1833,1852,1880,1941,2013,2108",0,0,0,
28,72,72,72,normal,1,1,2725.3232,7.50056,673,19:13,755,20:35,"fuel_3000,ev_3000","317,368,395,466,491,548,580,611,632,848,973,1040,1070,1077,1165,1208,1273,1274,1320,1330,1348,1397,1406,1463,1472,1573,1658,1662,1708,1710,1745,1800,1904,1923,1991,2027",0,0,0,
29,76,76,76,normal,1,1,1256.3017,4.028617,69,09:09,145,10:25,"fuel_3000,fuel_1500,ev_3000","302,655,668,737,739,834,1012,1065,1105,1212,1228,1270,1393,1498,1564,1889,2148",0,0,0,
30,77,77,77,normal,1,1,1968.2668,5.09682,656,18:56,737,20:17,"fuel_3000,ev_3000","323,335,493,560,749,821,868,1198,1338,1368,1492,1760,1818,1820,1857,2090,2104",0,0,0,
